numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,38.649481,0.105978,0.099355,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,37.418159,0.109466,0.102624,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,38.406813,0.213295,0.199965,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,37.156653,0.220472,0.206692,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,37.762063,0.433875,0.406757,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,37.923256,0.432030,0.405029,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,38.097162,0.860117,0.806359,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,37.032278,0.884850,0.829547,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,38.984234,1.681090,1.576022,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,38.876850,1.685733,1.580375,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,38.591850,3.396365,3.184092,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,38.923409,3.367434,3.156969,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,43.419000,6.037541,5.660195,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,40.676306,6.444636,6.041847,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,43.498797,12.052931,11.299623,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,43.983372,11.920141,11.175132,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,57.306063,18.297820,17.154206,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,54.701988,19.168883,17.970828,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,65.545272,31.995473,29.995756,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,66.021194,31.764830,29.779528,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,93.195288,45.005537,42.192691,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,91.207409,45.986439,43.112287,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,143.279634,58.547106,54.887912,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,142.062359,59.048773,55.358225,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,232.357441,72.204342,67.691570,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,231.241838,72.552684,68.018141,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,416.606513,80.542265,75.508373,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,414.984750,80.857024,75.803460,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,766.955625,87.500322,82.031552,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,765.407797,87.677267,82.197438,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1455.865600,92.191015,86.429077,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1454.229309,92.294748,86.526326,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2836.179656,94.646845,88.731417,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2835.475891,94.670336,88.753440,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5635.672587,95.262971,89.309035,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5672.287256,94.648047,88.732544,"N/A"
