numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,38.602400,0.106107,0.099476,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,38.123228,0.107441,0.100726,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,40.043969,0.204575,0.191789,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,36.919725,0.221887,0.208019,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,40.491181,0.404631,0.379342,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,37.922006,0.432045,0.405042,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,41.437863,0.790774,0.741351,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,37.521819,0.873305,0.818724,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,42.405981,1.545442,1.448852,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,37.879178,1.730133,1.621999,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,40.439219,3.241210,3.038634,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,39.042188,3.357189,3.147365,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,41.530775,6.312042,5.917539,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,44.296681,5.917915,5.548045,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,47.986800,10.925671,10.242817,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,43.477050,12.058960,11.305275,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,54.175381,19.355212,18.145511,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,55.238512,18.982698,17.796279,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,69.480269,30.183418,28.296954,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,65.803016,31.870150,29.878266,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,96.590197,43.423703,40.709721,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,90.705941,46.240676,43.350634,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,142.711994,58.779979,55.106230,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,142.616900,58.819172,55.142974,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,232.117863,72.278867,67.761437,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,231.521844,72.464938,67.935879,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,416.017650,80.656270,75.615253,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,415.386394,80.778842,75.730165,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,766.729888,87.526083,82.055703,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,765.818931,87.630197,82.153310,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1453.550319,92.337861,86.566745,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1453.295938,92.354024,86.581898,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2831.961216,94.787829,88.863590,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2831.470172,94.804268,88.879001,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5646.169612,95.085863,89.142997,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5593.807938,95.975929,89.977433,"N/A"
