numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,52.854491,0.077496,0.072652,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,37.993112,0.107809,0.101071,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,40.496956,0.202287,0.189644,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,38.159219,0.214679,0.201262,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,42.063047,0.389511,0.365166,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,38.096722,0.430063,0.403184,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,37.486450,0.874129,0.819496,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,36.990606,0.885847,0.830481,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,41.922225,1.563276,1.465571,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,38.095278,1.720318,1.612798,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,41.985344,3.121851,2.926736,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,39.634713,3.307000,3.100313,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,43.367803,6.044669,5.666877,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,40.503481,6.472135,6.067627,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,44.880847,11.681776,10.951665,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,43.446019,12.067573,11.313350,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,60.674087,17.282106,16.201974,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,54.585694,19.209722,18.009114,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,69.797919,30.046053,28.168175,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,66.154369,31.700884,29.719579,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,96.007416,43.687292,40.956836,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,91.471328,45.853756,42.987897,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,142.864656,58.717168,55.047345,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,142.827369,58.732497,55.061716,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,232.242938,72.239941,67.724944,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,231.285456,72.539001,68.005314,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,416.890553,80.487389,75.456927,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,415.100856,80.834408,75.782258,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,766.867941,87.510327,82.040931,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,766.069275,87.601561,82.126463,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1454.326859,92.288558,86.520523,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1453.270369,92.355649,86.583421,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2834.358653,94.707653,88.788425,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2829.603059,94.866824,88.937648,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5727.181156,93.740864,87.882060,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5645.783422,95.092368,89.149095,"N/A"
