numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,16,16,1,4096,"float","none",0,15.757337,0.259942,0.259942,"0"
0,"Broadcast",1,16,16,1,4096,"float","none",1,21.827100,0.187657,0.187657,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",0,22.576956,0.362848,0.362848,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",1,18.582581,0.440843,0.440843,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",0,22.105956,0.741158,0.741158,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",1,17.906300,0.914985,0.914985,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",0,24.736878,1.324662,1.324662,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",1,22.997413,1.424856,1.424856,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",0,47.311981,1.385188,1.385188,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",1,47.064388,1.392475,1.392475,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",0,49.440122,2.651126,2.651126,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",1,48.575900,2.698293,2.698293,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",0,51.212434,5.118757,5.118757,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",1,50.646216,5.175984,5.175984,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",0,52.617378,9.964160,9.964160,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",1,52.427647,10.000220,10.000220,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",0,64.022459,16.378252,16.378252,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",1,60.604544,17.301937,17.301937,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",0,73.903087,28.377055,28.377055,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",1,71.141481,29.478610,29.478610,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",0,98.278941,42.677546,42.677546,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",1,94.798213,44.244547,44.244547,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",0,115.943347,72.350922,72.350922,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",1,111.257369,75.398224,75.398224,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",0,151.936866,110.422286,110.422286,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",1,146.206756,114.749937,114.749937,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",0,199.253200,168.400969,168.400969,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",1,197.932331,169.524765,169.524765,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",0,319.127762,210.288392,210.288392,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",1,305.374619,219.759141,219.759141,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",0,512.155075,262.064626,262.064626,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",1,512.091131,262.097349,262.097349,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",0,929.078503,288.926560,288.926560,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",1,929.449606,288.811200,288.811200,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",0,1803.668275,297.655018,297.655018,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",1,1804.006938,297.599139,297.599139,"0"
