numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,16,16,1,4096,"float","none",0,16.696750,0.245317,0.245317,"0"
0,"Broadcast",1,16,16,1,4096,"float","none",1,24.675716,0.165993,0.165993,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",0,16.825209,0.486888,0.486888,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",1,15.408338,0.531660,0.531660,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",0,18.827603,0.870212,0.870212,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",1,17.975466,0.911465,0.911465,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",0,34.599844,0.947056,0.947056,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",1,32.039350,1.022742,1.022742,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",0,49.258353,1.330455,1.330455,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",1,46.115625,1.421124,1.421124,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",0,50.989350,2.570576,2.570576,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",1,48.632556,2.695149,2.695149,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",0,52.634644,4.980446,4.980446,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",1,49.697409,5.274802,5.274802,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",0,53.134497,9.867187,9.867187,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",1,53.313497,9.834058,9.834058,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",0,62.265797,16.840321,16.840321,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",1,61.471269,17.057985,17.057985,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",0,73.594841,28.495911,28.495911,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",1,71.712372,29.243936,29.243936,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",0,98.718384,42.487567,42.487567,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",1,95.253875,44.032896,44.032896,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",0,115.081587,72.892703,72.892703,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",1,111.827259,75.013982,75.013982,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",0,151.564375,110.693664,110.693664,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",1,149.380106,112.312251,112.312251,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",0,200.393803,167.442463,167.442463,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",1,198.846150,168.745696,168.745696,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",0,305.355009,219.773254,219.773254,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",1,304.311113,220.527155,220.527155,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",0,512.559753,261.857719,261.857719,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",1,509.251872,263.558635,263.558635,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",0,928.010963,289.258928,289.258928,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",1,923.586194,290.644726,290.644726,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",0,1749.856331,306.808566,306.808566,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",1,1749.014728,306.956198,306.956198,"0"
