numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,16,16,1,4096,"float","none",0,18.198116,0.225078,0.225078,"0"
0,"Broadcast",1,16,16,1,4096,"float","none",1,20.634731,0.198500,0.198500,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",0,18.931266,0.432723,0.432723,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",1,19.994925,0.409704,0.409704,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",0,20.167306,0.812404,0.812404,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",1,22.234516,0.736872,0.736872,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",0,26.092281,1.255850,1.255850,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",1,25.811034,1.269535,1.269535,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",0,51.261519,1.278464,1.278464,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",1,51.827822,1.264495,1.264495,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",0,77.330797,1.694952,1.694952,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",1,77.146897,1.698993,1.698993,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",0,80.657013,3.250108,3.250108,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",1,81.468169,3.217748,3.217748,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",0,85.612519,6.123964,6.123964,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",1,83.100247,6.309103,6.309103,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",0,90.207050,11.624103,11.624103,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",1,87.328472,12.007264,12.007264,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",0,98.219784,21.351625,21.351625,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",1,112.217072,18.688351,18.688351,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",0,110.978319,37.793905,37.793905,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",1,107.971453,38.846416,38.846416,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",0,137.534000,60.992976,60.992976,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",1,134.020672,62.591896,62.591896,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",0,174.141216,96.342591,96.342591,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",1,174.545641,96.119364,96.119364,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",0,232.739469,144.171645,144.171645,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",1,232.577088,144.272303,144.272303,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",0,334.002406,200.923295,200.923295,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",1,332.871947,201.605646,201.605646,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",0,578.375281,232.059931,232.059931,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",1,578.565825,231.983505,231.983505,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",0,941.984800,284.967927,284.967927,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",1,946.600697,283.578342,283.578342,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",0,1792.916653,299.439972,299.439972,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",1,1803.291647,297.717185,297.717185,"0"
