numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,16,16,1,4096,"float","none",0,20.685669,0.198011,0.198011,"0"
0,"Broadcast",1,16,16,1,4096,"float","none",1,21.365416,0.191712,0.191712,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",0,18.538747,0.441885,0.441885,"0"
0,"Broadcast",1,16,16,1,8192,"float","none",1,21.033034,0.389483,0.389483,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",0,23.581966,0.694768,0.694768,"0"
0,"Broadcast",1,16,16,1,16384,"float","none",1,21.919963,0.747447,0.747447,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",0,23.420234,1.399132,1.399132,"0"
0,"Broadcast",1,16,16,1,32768,"float","none",1,25.607678,1.279616,1.279616,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",0,51.491109,1.272763,1.272763,"0"
0,"Broadcast",1,16,16,1,65536,"float","none",1,51.579888,1.270573,1.270573,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",0,81.044056,1.617293,1.617293,"0"
0,"Broadcast",1,16,16,1,131072,"float","none",1,77.720241,1.686459,1.686459,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",0,83.989263,3.121161,3.121161,"0"
0,"Broadcast",1,16,16,1,262144,"float","none",1,81.933688,3.199465,3.199465,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",0,82.772463,6.334087,6.334087,"0"
0,"Broadcast",1,16,16,1,524288,"float","none",1,83.114000,6.308059,6.308059,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",0,89.282959,11.744414,11.744414,"0"
0,"Broadcast",1,16,16,1,1048576,"float","none",1,87.058031,12.044564,12.044564,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",0,97.869484,21.428048,21.428048,"0"
0,"Broadcast",1,16,16,1,2097152,"float","none",1,99.483388,21.080424,21.080424,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",0,111.767669,37.526988,37.526988,"0"
0,"Broadcast",1,16,16,1,4194304,"float","none",1,121.708334,34.461929,34.461929,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",0,131.216625,63.929460,63.929460,"0"
0,"Broadcast",1,16,16,1,8388608,"float","none",1,179.145719,46.825612,46.825612,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",0,179.371106,93.533548,93.533548,"0"
0,"Broadcast",1,16,16,1,16777216,"float","none",1,173.531175,96.681279,96.681279,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",0,234.488100,143.096524,143.096524,"0"
0,"Broadcast",1,16,16,1,33554432,"float","none",1,234.118903,143.322182,143.322182,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",0,333.203562,201.405001,201.405001,"0"
0,"Broadcast",1,16,16,1,67108864,"float","none",1,333.038472,201.504840,201.504840,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",0,610.480541,219.855866,219.855866,"0"
0,"Broadcast",1,16,16,1,134217728,"float","none",1,579.875481,231.459567,231.459567,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",0,940.496253,285.418953,285.418953,"0"
0,"Broadcast",1,16,16,1,268435456,"float","none",1,941.010547,285.262962,285.262962,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",0,1854.872244,289.438215,289.438215,"0"
0,"Broadcast",1,16,16,1,536870912,"float","none",1,1794.606409,299.158027,299.158027,"0"
