numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,16,16,1,4096,"float","sum",0,15.926044,0.257189,0.257189,"0"
0,"Reduce",1,16,16,1,4096,"float","sum",1,15.687172,0.261105,0.261105,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",0,16.119928,0.508191,0.508191,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",1,14.560166,0.562631,0.562631,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",0,18.360303,0.892360,0.892360,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",1,18.405556,0.890166,0.890166,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",0,22.834841,1.435000,1.435000,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",1,22.830769,1.435256,1.435256,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",0,42.579547,1.539143,1.539143,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",1,42.283113,1.549933,1.549933,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",0,61.422259,2.133950,2.133950,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",1,61.377697,2.135499,2.135499,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",0,52.053703,5.036030,5.036030,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",1,52.759222,4.968686,4.968686,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",0,54.762788,9.573800,9.573800,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",1,53.664631,9.769712,9.769712,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",0,61.814728,16.963207,16.963207,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",1,62.116800,16.880715,16.880715,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",0,74.954069,27.979162,27.979162,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",1,72.367553,28.979175,28.979175,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",0,96.236675,43.583218,43.583218,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",1,95.919600,43.727288,43.727288,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",0,117.703309,71.269092,71.269092,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",1,112.510803,74.558245,74.558245,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",0,146.010863,114.903889,114.903889,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",1,146.411919,114.589141,114.589141,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",0,203.825913,164.622994,164.622994,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",1,204.140903,164.368980,164.368980,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",0,322.986272,207.776212,207.776212,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",1,320.439850,209.427336,209.427336,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",0,550.104991,243.985658,243.985658,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",1,548.413978,244.737978,244.737978,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",0,1005.248500,267.033928,267.033928,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",1,1001.120806,268.134929,268.134929,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",0,1861.221253,288.450882,288.450882,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",1,1857.828250,288.977688,288.977688,"0"
