numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,16,16,1,4096,"float","sum",0,15.473666,0.264708,0.264708,"0"
0,"Reduce",1,16,16,1,4096,"float","sum",1,14.153234,0.289404,0.289404,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",0,15.960941,0.513253,0.513253,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",1,14.312394,0.572371,0.572371,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",0,20.718475,0.790792,0.790792,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",1,17.919622,0.914305,0.914305,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",0,22.561791,1.452367,1.452367,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",1,22.089291,1.483434,1.483434,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",0,44.672250,1.467041,1.467041,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",1,41.706088,1.571377,1.571377,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",0,62.956231,2.081954,2.081954,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",1,60.981594,2.149370,2.149370,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",0,62.892384,4.168136,4.168136,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",1,63.249575,4.144597,4.144597,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",0,70.192856,7.469250,7.469250,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",1,68.157575,7.692292,7.692292,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",0,78.601781,13.340359,13.340359,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",1,76.095756,13.779691,13.779691,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",0,100.691175,20.827565,20.827565,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",1,96.938316,21.633881,21.633881,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",0,134.997575,31.069477,31.069477,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",1,135.087191,31.048865,31.048865,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",0,251.732491,33.323501,33.323501,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",1,252.461294,33.227303,33.227303,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",0,427.174913,39.274816,39.274816,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",1,425.508709,39.428608,39.428608,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",0,839.860728,39.952376,39.952376,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",1,838.584556,40.013177,40.013177,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",0,1599.341081,41.960320,41.960320,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",1,1596.493700,42.035157,42.035157,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",0,3176.166288,42.257777,42.257777,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",1,3178.757597,42.223329,42.223329,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",0,6308.069794,42.554294,42.554294,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",1,6368.033275,42.153589,42.153589,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",0,12319.171056,43.580117,43.580117,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",1,12285.642506,43.699050,43.699050,"0"
