numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,16,16,1,4096,"float","sum",0,16.348666,0.250540,0.250540,"0"
0,"Reduce",1,16,16,1,4096,"float","sum",1,16.266413,0.251807,0.251807,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",0,15.968956,0.512995,0.512995,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",1,15.178763,0.539701,0.539701,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",0,17.116981,0.957178,0.957178,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",1,16.547516,0.990118,0.990118,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",0,33.051500,0.991422,0.991422,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",1,32.753447,1.000444,1.000444,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",0,48.893069,1.340394,1.340394,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",1,47.109959,1.391128,1.391128,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",0,51.743425,2.533114,2.533114,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",1,49.628319,2.641073,2.641073,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",0,52.122091,5.029422,5.029422,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",1,50.606675,5.180028,5.180028,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",0,53.999369,9.709151,9.709151,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",1,53.792969,9.746404,9.746404,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",0,64.153859,16.344706,16.344706,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",1,62.441197,16.793016,16.793016,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",0,75.248928,27.869527,27.869527,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",1,73.100456,28.688631,28.688631,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",0,101.088197,41.491530,41.491530,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",1,97.381916,43.070666,43.070666,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",0,119.430037,70.238678,70.238678,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",1,113.023116,74.220286,74.220286,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",0,148.447169,113.018094,113.018094,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",1,147.248894,113.937807,113.937807,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",0,204.522256,164.062497,164.062497,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",1,205.086003,163.611517,163.611517,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",0,320.109491,209.643469,209.643469,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",1,318.782378,210.516229,210.516229,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",0,549.287619,244.348723,244.348723,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",1,545.514672,246.038713,246.038713,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",0,1006.355888,266.740086,266.740086,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",1,1005.871372,266.868571,266.868571,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",0,1867.575606,287.469439,287.469439,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",1,1864.282509,287.977229,287.977229,"0"
