numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,16,16,1,4096,"float","sum",0,18.744728,0.218515,0.218515,"0"
0,"Reduce",1,16,16,1,4096,"float","sum",1,17.188803,0.238295,0.238295,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",0,18.129947,0.451849,0.451849,"0"
0,"Reduce",1,16,16,1,8192,"float","sum",1,16.734934,0.489515,0.489515,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",0,19.838459,0.825871,0.825871,"0"
0,"Reduce",1,16,16,1,16384,"float","sum",1,18.611966,0.880294,0.880294,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",0,18.901306,1.733637,1.733637,"0"
0,"Reduce",1,16,16,1,32768,"float","sum",1,19.054306,1.719716,1.719716,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",0,57.408116,1.141581,1.141581,"0"
0,"Reduce",1,16,16,1,65536,"float","sum",1,54.697653,1.198150,1.198150,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",0,82.272931,1.593136,1.593136,"0"
0,"Reduce",1,16,16,1,131072,"float","sum",1,81.694816,1.604410,1.604410,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",0,89.141750,2.940754,2.940754,"0"
0,"Reduce",1,16,16,1,262144,"float","sum",1,85.778203,3.056068,3.056068,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",0,87.624038,5.983381,5.983381,"0"
0,"Reduce",1,16,16,1,524288,"float","sum",1,87.367481,6.000951,6.000951,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",0,95.673538,10.959938,10.959938,"0"
0,"Reduce",1,16,16,1,1048576,"float","sum",1,91.955181,11.403120,11.403120,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",0,105.909837,19.801296,19.801296,"0"
0,"Reduce",1,16,16,1,2097152,"float","sum",1,100.812328,20.802535,20.802535,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",0,117.330828,35.747672,35.747672,"0"
0,"Reduce",1,16,16,1,4194304,"float","sum",1,110.310969,38.022547,38.022547,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",0,136.761012,61.337715,61.337715,"0"
0,"Reduce",1,16,16,1,8388608,"float","sum",1,133.552937,62.811108,62.811108,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",0,177.643919,94.442951,94.442951,"0"
0,"Reduce",1,16,16,1,16777216,"float","sum",1,174.556503,96.113383,96.113383,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",0,241.934441,138.692250,138.692250,"0"
0,"Reduce",1,16,16,1,33554432,"float","sum",1,231.481591,144.955078,144.955078,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",0,346.542175,193.652804,193.652804,"0"
0,"Reduce",1,16,16,1,67108864,"float","sum",1,333.520006,201.213908,201.213908,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",0,594.169516,225.891306,225.891306,"0"
0,"Reduce",1,16,16,1,134217728,"float","sum",1,582.152663,230.554177,230.554177,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",0,971.517688,276.305269,276.305269,"0"
0,"Reduce",1,16,16,1,268435456,"float","sum",1,964.034084,278.450171,278.450171,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",0,1846.420016,290.763157,290.763157,"0"
0,"Reduce",1,16,16,1,536870912,"float","sum",1,1848.215034,290.480762,290.480762,"0"
