numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,16,16,1,4096,"float","sum",0,41.449775,0.098818,0.092642,"0"
0,"ReduceScatter",1,16,16,1,4096,"float","sum",1,39.456691,0.103810,0.097322,"0"
0,"ReduceScatter",1,16,16,1,8192,"float","sum",0,40.576603,0.201890,0.189272,"0"
0,"ReduceScatter",1,16,16,1,8192,"float","sum",1,39.559609,0.207080,0.194137,"0"
0,"ReduceScatter",1,16,16,1,16384,"float","sum",0,43.447403,0.377100,0.353531,"0"
0,"ReduceScatter",1,16,16,1,16384,"float","sum",1,40.381094,0.405734,0.380376,"0"
0,"ReduceScatter",1,16,16,1,32768,"float","sum",0,46.434681,0.705679,0.661574,"0"
0,"ReduceScatter",1,16,16,1,32768,"float","sum",1,42.923894,0.763398,0.715685,"0"
0,"ReduceScatter",1,16,16,1,65536,"float","sum",0,49.042469,1.336311,1.252792,"0"
0,"ReduceScatter",1,16,16,1,65536,"float","sum",1,45.986481,1.425114,1.336045,"0"
0,"ReduceScatter",1,16,16,1,131072,"float","sum",0,56.727494,2.310555,2.166145,"0"
0,"ReduceScatter",1,16,16,1,131072,"float","sum",1,7748.733325,0.016915,0.015858,"0"
0,"ReduceScatter",1,16,16,1,262144,"float","sum",0,7800.081722,0.033608,0.031507,"0"
0,"ReduceScatter",1,16,16,1,262144,"float","sum",1,20960.830778,0.012506,0.011725,"0"
0,"ReduceScatter",1,16,16,1,524288,"float","sum",0,15908.350378,0.032957,0.030897,"0"
0,"ReduceScatter",1,16,16,1,524288,"float","sum",1,11723.620338,0.044721,0.041926,"0"
0,"ReduceScatter",1,16,16,1,1048576,"float","sum",0,20774.335006,0.050475,0.047320,"0"
0,"ReduceScatter",1,16,16,1,1048576,"float","sum",1,5300.443950,0.197828,0.185464,"0"
0,"ReduceScatter",1,16,16,1,2097152,"float","sum",0,22992.496188,0.091210,0.085510,"0"
0,"ReduceScatter",1,16,16,1,2097152,"float","sum",1,25273.021700,0.082980,0.077794,"0"
0,"ReduceScatter",1,16,16,1,4194304,"float","sum",0,24538.105513,0.170930,0.160247,"0"
0,"ReduceScatter",1,16,16,1,4194304,"float","sum",1,24304.238937,0.172575,0.161789,"0"
0,"ReduceScatter",1,16,16,1,8388608,"float","sum",0,16975.497000,0.494160,0.463275,"0"
0,"ReduceScatter",1,16,16,1,8388608,"float","sum",1,19942.784031,0.420634,0.394344,"0"
0,"ReduceScatter",1,16,16,1,16777216,"float","sum",0,18184.845675,0.922593,0.864931,"0"
0,"ReduceScatter",1,16,16,1,16777216,"float","sum",1,22209.487697,0.755408,0.708195,"0"
0,"ReduceScatter",1,16,16,1,33554432,"float","sum",0,25600.949325,1.310671,1.228754,"0"
0,"ReduceScatter",1,16,16,1,33554432,"float","sum",1,28398.732969,1.181547,1.107700,"0"
0,"ReduceScatter",1,16,16,1,67108864,"float","sum",0,25282.026141,2.654410,2.488509,"0"
0,"ReduceScatter",1,16,16,1,67108864,"float","sum",1,23305.812769,2.879490,2.699522,"0"
0,"ReduceScatter",1,16,16,1,134217728,"float","sum",0,49548.776581,2.708800,2.539500,"0"
0,"ReduceScatter",1,16,16,1,134217728,"float","sum",1,1181.116928,113.636275,106.534008,"0"
0,"ReduceScatter",1,16,16,1,268435456,"float","sum",0,697.714569,384.735346,360.689387,"0"
0,"ReduceScatter",1,16,16,1,268435456,"float","sum",1,693.881575,386.860620,362.681831,"0"
0,"ReduceScatter",1,16,16,1,536870912,"float","sum",0,1362.802012,393.946375,369.324726,"0"
0,"ReduceScatter",1,16,16,1,536870912,"float","sum",1,1365.656519,393.122945,368.552761,"0"
