numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,16,16,1,4096,"float","sum",0,41.997466,0.097530,0.091434,"0"
0,"ReduceScatter",1,16,16,1,4096,"float","sum",1,39.763150,0.103010,0.096572,"0"
0,"ReduceScatter",1,16,16,1,8192,"float","sum",0,40.301778,0.203266,0.190562,"0"
0,"ReduceScatter",1,16,16,1,8192,"float","sum",1,39.066588,0.209693,0.196587,"0"
0,"ReduceScatter",1,16,16,1,16384,"float","sum",0,45.036262,0.363796,0.341058,"0"
0,"ReduceScatter",1,16,16,1,16384,"float","sum",1,39.884813,0.410783,0.385109,"0"
0,"ReduceScatter",1,16,16,1,32768,"float","sum",0,45.152447,0.725719,0.680362,"0"
0,"ReduceScatter",1,16,16,1,32768,"float","sum",1,42.198797,0.776515,0.727983,"0"
0,"ReduceScatter",1,16,16,1,65536,"float","sum",0,48.893194,1.340391,1.256617,"0"
0,"ReduceScatter",1,16,16,1,65536,"float","sum",1,45.541066,1.439053,1.349112,"0"
0,"ReduceScatter",1,16,16,1,131072,"float","sum",0,54.082975,2.423535,2.272064,"0"
0,"ReduceScatter",1,16,16,1,131072,"float","sum",1,55.445231,2.363991,2.216241,"0"
0,"ReduceScatter",1,16,16,1,262144,"float","sum",0,59.180103,4.429597,4.152747,"0"
0,"ReduceScatter",1,16,16,1,262144,"float","sum",1,57.937684,4.524585,4.241799,"0"
0,"ReduceScatter",1,16,16,1,524288,"float","sum",0,63.847784,8.211530,7.698309,"0"
0,"ReduceScatter",1,16,16,1,524288,"float","sum",1,60.343019,8.688462,8.145433,"0"
0,"ReduceScatter",1,16,16,1,1048576,"float","sum",0,76.556478,13.696764,12.840716,"0"
0,"ReduceScatter",1,16,16,1,1048576,"float","sum",1,72.314244,14.500269,13.594002,"0"
0,"ReduceScatter",1,16,16,1,2097152,"float","sum",0,123.777041,16.942981,15.884044,"0"
0,"ReduceScatter",1,16,16,1,2097152,"float","sum",1,123.567206,16.971752,15.911018,"0"
0,"ReduceScatter",1,16,16,1,4194304,"float","sum",0,163.816638,25.603651,24.003423,"0"
0,"ReduceScatter",1,16,16,1,4194304,"float","sum",1,157.496122,26.631157,24.966710,"0"
0,"ReduceScatter",1,16,16,1,8388608,"float","sum",0,225.128109,37.261486,34.932644,"0"
0,"ReduceScatter",1,16,16,1,8388608,"float","sum",1,225.443872,37.209297,34.883716,"0"
0,"ReduceScatter",1,16,16,1,16777216,"float","sum",0,476.432613,35.214248,33.013357,"0"
0,"ReduceScatter",1,16,16,1,16777216,"float","sum",1,480.124431,34.943475,32.759508,"0"
0,"ReduceScatter",1,16,16,1,33554432,"float","sum",0,818.484569,40.995803,38.433565,"0"
0,"ReduceScatter",1,16,16,1,33554432,"float","sum",1,817.532784,41.043531,38.478310,"0"
0,"ReduceScatter",1,16,16,1,67108864,"float","sum",0,1626.874325,41.250183,38.672047,"0"
0,"ReduceScatter",1,16,16,1,67108864,"float","sum",1,1629.873169,41.174286,38.600893,"0"
0,"ReduceScatter",1,16,16,1,134217728,"float","sum",0,3113.634009,43.106456,40.412303,"0"
0,"ReduceScatter",1,16,16,1,134217728,"float","sum",1,3092.823972,43.396498,40.684216,"0"
0,"ReduceScatter",1,16,16,1,268435456,"float","sum",0,6165.259766,43.540007,40.818757,"0"
0,"ReduceScatter",1,16,16,1,268435456,"float","sum",1,6150.182516,43.646746,40.918825,"0"
0,"ReduceScatter",1,16,16,1,536870912,"float","sum",0,12221.239713,43.929333,41.183750,"0"
0,"ReduceScatter",1,16,16,1,536870912,"float","sum",1,12188.273256,44.048152,41.295142,"0"
