numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,16,16,1,4096,"float","sum",0,136.136384,0.030087,0.028207,"0"
0,"ReduceScatter",1,16,16,1,4096,"float","sum",1,134.053166,0.030555,0.028645,"0"
0,"ReduceScatter",1,16,16,1,8192,"float","sum",0,134.910872,0.060722,0.056926,"0"
0,"ReduceScatter",1,16,16,1,8192,"float","sum",1,136.774966,0.059894,0.056151,"0"
0,"ReduceScatter",1,16,16,1,16384,"float","sum",0,142.696409,0.114817,0.107641,"0"
0,"ReduceScatter",1,16,16,1,16384,"float","sum",1,134.157575,0.122125,0.114492,"0"
0,"ReduceScatter",1,16,16,1,32768,"float","sum",0,141.187528,0.232088,0.217583,"0"
0,"ReduceScatter",1,16,16,1,32768,"float","sum",1,136.423559,0.240193,0.225181,"0"
0,"ReduceScatter",1,16,16,1,65536,"float","sum",0,141.040769,0.464660,0.435619,"0"
0,"ReduceScatter",1,16,16,1,65536,"float","sum",1,136.537922,0.479984,0.449985,"0"
0,"ReduceScatter",1,16,16,1,131072,"float","sum",0,157.599747,0.831676,0.779697,"0"
0,"ReduceScatter",1,16,16,1,131072,"float","sum",1,151.276709,0.866439,0.812286,"0"
0,"ReduceScatter",1,16,16,1,262144,"float","sum",0,172.967953,1.515564,1.420841,"0"
0,"ReduceScatter",1,16,16,1,262144,"float","sum",1,165.079034,1.587991,1.488741,"0"
0,"ReduceScatter",1,16,16,1,524288,"float","sum",0,171.233606,3.061829,2.870465,"0"
0,"ReduceScatter",1,16,16,1,524288,"float","sum",1,165.984325,3.158660,2.961243,"0"
0,"ReduceScatter",1,16,16,1,1048576,"float","sum",0,174.336584,6.014664,5.638748,"0"
0,"ReduceScatter",1,16,16,1,1048576,"float","sum",1,167.408656,6.263571,5.872098,"0"
0,"ReduceScatter",1,16,16,1,2097152,"float","sum",0,222.385253,9.430266,8.840874,"0"
0,"ReduceScatter",1,16,16,1,2097152,"float","sum",1,216.523544,9.685561,9.080213,"0"
0,"ReduceScatter",1,16,16,1,4194304,"float","sum",0,218.303628,19.213167,18.012344,"0"
0,"ReduceScatter",1,16,16,1,4194304,"float","sum",1,217.226950,19.308396,18.101621,"0"
0,"ReduceScatter",1,16,16,1,8388608,"float","sum",0,255.760700,32.798659,30.748743,"0"
0,"ReduceScatter",1,16,16,1,8388608,"float","sum",1,274.309600,30.580804,28.669503,"0"
0,"ReduceScatter",1,16,16,1,16777216,"float","sum",0,325.497878,51.543242,48.321790,"0"
0,"ReduceScatter",1,16,16,1,16777216,"float","sum",1,306.771734,54.689576,51.271477,"0"
0,"ReduceScatter",1,16,16,1,33554432,"float","sum",0,315.486147,106.357862,99.710495,"0"
0,"ReduceScatter",1,16,16,1,33554432,"float","sum",1,308.739822,108.681905,101.889286,"0"
0,"ReduceScatter",1,16,16,1,67108864,"float","sum",0,323.782125,207.265500,194.311406,"0"
0,"ReduceScatter",1,16,16,1,67108864,"float","sum",1,322.488144,208.097151,195.091079,"0"
0,"ReduceScatter",1,16,16,1,134217728,"float","sum",0,416.772388,322.040836,301.913284,"0"
0,"ReduceScatter",1,16,16,1,134217728,"float","sum",1,409.073609,328.101654,307.595301,"0"
0,"ReduceScatter",1,16,16,1,268435456,"float","sum",0,700.471781,383.220942,359.269633,"0"
0,"ReduceScatter",1,16,16,1,268435456,"float","sum",1,698.509709,384.297387,360.278800,"0"
0,"ReduceScatter",1,16,16,1,536870912,"float","sum",0,1372.315513,391.215363,366.764403,"0"
0,"ReduceScatter",1,16,16,1,536870912,"float","sum",1,1367.524284,392.586017,368.049391,"0"
