numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,24,24,1,3840,"float","none",0,68.531929,0.056032,0.053698,"0"
0,"AllGather",1,24,24,1,3840,"float","none",1,58.222752,0.065954,0.063206,"0"
0,"AllGather",1,24,24,1,8064,"float","none",0,59.593013,0.135318,0.129680,"0"
0,"AllGather",1,24,24,1,8064,"float","none",1,57.912977,0.139243,0.133442,"0"
0,"AllGather",1,24,24,1,16128,"float","none",0,59.595771,0.270623,0.259347,"0"
0,"AllGather",1,24,24,1,16128,"float","none",1,59.038704,0.273177,0.261794,"0"
0,"AllGather",1,24,24,1,32640,"float","none",0,58.301096,0.559852,0.536525,"0"
0,"AllGather",1,24,24,1,32640,"float","none",1,58.376846,0.559126,0.535829,"0"
0,"AllGather",1,24,24,1,65280,"float","none",0,60.359063,1.081528,1.036464,"0"
0,"AllGather",1,24,24,1,65280,"float","none",1,58.019121,1.125146,1.078265,"0"
0,"AllGather",1,24,24,1,130944,"float","none",0,58.687692,2.231200,2.138234,"0"
0,"AllGather",1,24,24,1,130944,"float","none",1,60.950150,2.148379,2.058863,"0"
0,"AllGather",1,24,24,1,261888,"float","none",0,61.921504,4.229355,4.053132,"0"
0,"AllGather",1,24,24,1,261888,"float","none",1,60.975473,4.294973,4.116016,"0"
0,"AllGather",1,24,24,1,524160,"float","none",0,65.470604,8.006036,7.672451,"0"
0,"AllGather",1,24,24,1,524160,"float","none",1,64.375487,8.142230,7.802970,"0"
0,"AllGather",1,24,24,1,1048320,"float","none",0,91.344052,11.476609,10.998417,"0"
0,"AllGather",1,24,24,1,1048320,"float","none",1,75.820750,13.826294,13.250199,"0"
0,"AllGather",1,24,24,1,2097024,"float","none",0,97.069242,21.603383,20.703242,"0"
0,"AllGather",1,24,24,1,2097024,"float","none",1,97.936429,21.412094,20.519923,"0"
0,"AllGather",1,24,24,1,4194048,"float","none",0,147.973188,28.343297,27.162326,"0"
0,"AllGather",1,24,24,1,4194048,"float","none",1,142.496779,29.432581,28.206223,"0"
0,"AllGather",1,24,24,1,8388480,"float","none",0,159.031175,52.747394,50.549586,"0"
0,"AllGather",1,24,24,1,8388480,"float","none",1,158.263469,53.003261,50.794792,"0"
0,"AllGather",1,24,24,1,16776960,"float","none",0,181.322913,92.525317,88.670096,"0"
0,"AllGather",1,24,24,1,16776960,"float","none",1,180.313979,93.043036,89.166243,"0"
0,"AllGather",1,24,24,1,33554304,"float","none",0,200.079571,167.704798,160.717098,"0"
0,"AllGather",1,24,24,1,33554304,"float","none",1,201.128533,166.830153,159.878897,"0"
0,"AllGather",1,24,24,1,67108608,"float","none",0,254.916025,263.257706,252.288635,"0"
0,"AllGather",1,24,24,1,67108608,"float","none",1,259.353450,258.753481,247.972086,"0"
0,"AllGather",1,24,24,1,134217600,"float","none",0,536.370996,250.232770,239.806405,"0"
0,"AllGather",1,24,24,1,134217600,"float","none",1,532.960679,251.833963,241.340881,"0"
0,"AllGather",1,24,24,1,268435200,"float","none",0,757.052796,354.579233,339.805099,"0"
0,"AllGather",1,24,24,1,268435200,"float","none",1,758.525033,353.891023,339.145564,"0"
0,"AllGather",1,24,24,1,536870784,"float","none",0,1388.854010,386.556672,370.450144,"0"
0,"AllGather",1,24,24,1,536870784,"float","none",1,1388.124600,386.759794,370.644802,"0"
