numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,24,24,1,3840,"float","none",0,59.891417,0.064116,0.061445,"0"
0,"AllGather",1,24,24,1,3840,"float","none",1,59.130683,0.064941,0.062235,"0"
0,"AllGather",1,24,24,1,8064,"float","none",0,60.430950,0.133442,0.127881,"0"
0,"AllGather",1,24,24,1,8064,"float","none",1,58.212613,0.138527,0.132755,"0"
0,"AllGather",1,24,24,1,16128,"float","none",0,58.740127,0.274565,0.263125,"0"
0,"AllGather",1,24,24,1,16128,"float","none",1,59.437567,0.271344,0.260038,"0"
0,"AllGather",1,24,24,1,32640,"float","none",0,58.160110,0.561209,0.537826,"0"
0,"AllGather",1,24,24,1,32640,"float","none",1,58.654000,0.556484,0.533297,"0"
0,"AllGather",1,24,24,1,65280,"float","none",0,60.547825,1.078156,1.033233,"0"
0,"AllGather",1,24,24,1,65280,"float","none",1,58.020912,1.125112,1.078232,"0"
0,"AllGather",1,24,24,1,130944,"float","none",0,62.577340,2.092515,2.005327,"0"
0,"AllGather",1,24,24,1,130944,"float","none",1,62.443781,2.096990,2.009616,"0"
0,"AllGather",1,24,24,1,261888,"float","none",0,63.115525,4.149344,3.976454,"0"
0,"AllGather",1,24,24,1,261888,"float","none",1,61.616042,4.250322,4.073225,"0"
0,"AllGather",1,24,24,1,524160,"float","none",0,65.567692,7.994181,7.661090,"0"
0,"AllGather",1,24,24,1,524160,"float","none",1,65.014183,8.062241,7.726314,"0"
0,"AllGather",1,24,24,1,1048320,"float","none",0,75.939579,13.804659,13.229465,"0"
0,"AllGather",1,24,24,1,1048320,"float","none",1,75.540598,13.877571,13.299339,"0"
0,"AllGather",1,24,24,1,2097024,"float","none",0,99.647125,21.044501,20.167647,"0"
0,"AllGather",1,24,24,1,2097024,"float","none",1,105.947081,19.793127,18.968413,"0"
0,"AllGather",1,24,24,1,4194048,"float","none",0,147.579648,28.418878,27.234758,"0"
0,"AllGather",1,24,24,1,4194048,"float","none",1,143.017869,29.325343,28.103453,"0"
0,"AllGather",1,24,24,1,8388480,"float","none",0,387.576288,21.643429,20.741620,"0"
0,"AllGather",1,24,24,1,8388480,"float","none",1,388.351129,21.600246,20.700236,"0"
0,"AllGather",1,24,24,1,16776960,"float","none",0,426.721212,39.315974,37.677808,"0"
0,"AllGather",1,24,24,1,16776960,"float","none",1,430.650590,38.957244,37.334025,"0"
0,"AllGather",1,24,24,1,33554304,"float","none",0,486.499060,68.970953,66.097164,"0"
0,"AllGather",1,24,24,1,33554304,"float","none",1,483.834925,69.350727,66.461114,"0"
0,"AllGather",1,24,24,1,67108608,"float","none",0,494.078975,135.825670,130.166267,"0"
0,"AllGather",1,24,24,1,67108608,"float","none",1,495.439935,135.452561,129.808704,"0"
0,"AllGather",1,24,24,1,134217600,"float","none",0,549.191838,244.391105,234.208142,"0"
0,"AllGather",1,24,24,1,134217600,"float","none",1,547.162173,245.297659,235.076923,"0"
0,"AllGather",1,24,24,1,268435200,"float","none",0,758.621892,353.845839,339.102263,"0"
0,"AllGather",1,24,24,1,268435200,"float","none",1,756.285752,354.938856,340.149737,"0"
0,"AllGather",1,24,24,1,536870784,"float","none",0,1392.837725,385.451065,369.390604,"0"
0,"AllGather",1,24,24,1,536870784,"float","none",1,1414.767781,379.476258,363.664748,"0"
