numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,24,24,1,3840,"float","none",0,62.326863,0.061611,0.059044,"0"
0,"AllGather",1,24,24,1,3840,"float","none",1,59.848163,0.064162,0.061489,"0"
0,"AllGather",1,24,24,1,8064,"float","none",0,60.034404,0.134323,0.128726,"0"
0,"AllGather",1,24,24,1,8064,"float","none",1,58.444092,0.137978,0.132229,"0"
0,"AllGather",1,24,24,1,16128,"float","none",0,59.853231,0.269459,0.258232,"0"
0,"AllGather",1,24,24,1,16128,"float","none",1,59.126385,0.272772,0.261406,"0"
0,"AllGather",1,24,24,1,32640,"float","none",0,58.463596,0.558296,0.535034,"0"
0,"AllGather",1,24,24,1,32640,"float","none",1,59.315802,0.550275,0.527347,"0"
0,"AllGather",1,24,24,1,65280,"float","none",0,60.429410,1.080269,1.035257,"0"
0,"AllGather",1,24,24,1,65280,"float","none",1,58.618058,1.113650,1.067248,"0"
0,"AllGather",1,24,24,1,130944,"float","none",0,59.990698,2.182738,2.091791,"0"
0,"AllGather",1,24,24,1,130944,"float","none",1,60.949490,2.148402,2.058885,"0"
0,"AllGather",1,24,24,1,261888,"float","none",0,61.634015,4.249082,4.072037,"0"
0,"AllGather",1,24,24,1,261888,"float","none",1,54.002131,4.849586,4.647520,"0"
0,"AllGather",1,24,24,1,524160,"float","none",0,65.536048,7.998041,7.664789,"0"
0,"AllGather",1,24,24,1,524160,"float","none",1,64.483619,8.128576,7.789885,"0"
0,"AllGather",1,24,24,1,1048320,"float","none",0,81.681194,12.834288,12.299526,"0"
0,"AllGather",1,24,24,1,1048320,"float","none",1,74.897415,13.996745,13.413547,"0"
0,"AllGather",1,24,24,1,2097024,"float","none",0,98.824423,21.219694,20.335540,"0"
0,"AllGather",1,24,24,1,2097024,"float","none",1,106.442848,19.700938,18.880066,"0"
0,"AllGather",1,24,24,1,4194048,"float","none",0,146.655377,28.597983,27.406401,"0"
0,"AllGather",1,24,24,1,4194048,"float","none",1,142.716956,29.387174,28.162708,"0"
0,"AllGather",1,24,24,1,8388480,"float","none",0,435.452690,19.263815,18.461156,"0"
0,"AllGather",1,24,24,1,8388480,"float","none",1,377.424317,22.225595,21.299529,"0"
0,"AllGather",1,24,24,1,16776960,"float","none",0,430.086565,39.008333,37.382986,"0"
0,"AllGather",1,24,24,1,16776960,"float","none",1,428.488619,39.153805,37.522397,"0"
0,"AllGather",1,24,24,1,33554304,"float","none",0,488.191719,68.731817,65.867992,"0"
0,"AllGather",1,24,24,1,33554304,"float","none",1,480.230142,69.871299,66.959995,"0"
0,"AllGather",1,24,24,1,67108608,"float","none",0,494.292877,135.766893,130.109939,"0"
0,"AllGather",1,24,24,1,67108608,"float","none",1,2751.316717,24.391451,23.375141,"0"
0,"AllGather",1,24,24,1,134217600,"float","none",0,546.665240,245.520641,235.290614,"0"
0,"AllGather",1,24,24,1,134217600,"float","none",1,560.259483,239.563281,229.581478,"0"
0,"AllGather",1,24,24,1,268435200,"float","none",0,756.073852,355.038333,340.245069,"0"
0,"AllGather",1,24,24,1,268435200,"float","none",1,812.248619,330.484034,316.713866,"0"
0,"AllGather",1,24,24,1,536870784,"float","none",0,1393.454544,385.280443,369.227091,"0"
0,"AllGather",1,24,24,1,536870784,"float","none",1,1390.973704,385.967601,369.885618,"0"
