numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,24,24,1,4096,"float","sum",0,16131.029208,0.000254,0.000487,"0"
0,"AllReduce",1,24,24,1,4096,"float","sum",1,766.998656,0.005340,0.010236,"0"
0,"AllReduce",1,24,24,1,8192,"float","sum",0,26519.886696,0.000309,0.000592,"0"
0,"AllReduce",1,24,24,1,8192,"float","sum",1,146.478044,0.055926,0.107192,"0"
0,"AllReduce",1,24,24,1,16384,"float","sum",0,151.275769,0.108306,0.207586,"0"
0,"AllReduce",1,24,24,1,16384,"float","sum",1,151.267500,0.108311,0.207597,"0"
0,"AllReduce",1,24,24,1,32768,"float","sum",0,152.780246,0.214478,0.411083,"0"
0,"AllReduce",1,24,24,1,32768,"float","sum",1,151.204908,0.216713,0.415366,"0"
0,"AllReduce",1,24,24,1,65536,"float","sum",0,156.166829,0.419654,0.804336,"0"
0,"AllReduce",1,24,24,1,65536,"float","sum",1,155.049608,0.422678,0.810132,"0"
0,"AllReduce",1,24,24,1,131072,"float","sum",0,179.409496,0.730574,1.400268,"0"
0,"AllReduce",1,24,24,1,131072,"float","sum",1,173.602015,0.755014,1.447111,"0"
0,"AllReduce",1,24,24,1,262144,"float","sum",0,263.211496,0.995944,1.908893,"0"
0,"AllReduce",1,24,24,1,262144,"float","sum",1,264.010137,0.992932,1.903119,"0"
0,"AllReduce",1,24,24,1,524288,"float","sum",0,282.568537,1.855437,3.556253,"0"
0,"AllReduce",1,24,24,1,524288,"float","sum",1,271.396367,1.931817,3.702648,"0"
0,"AllReduce",1,24,24,1,1048576,"float","sum",0,340.977875,3.075202,5.894138,"0"
0,"AllReduce",1,24,24,1,1048576,"float","sum",1,341.341950,3.071922,5.887851,"0"
0,"AllReduce",1,24,24,1,2097152,"float","sum",0,332.043633,6.315893,12.105461,"0"
0,"AllReduce",1,24,24,1,2097152,"float","sum",1,327.779198,6.398063,12.262954,"0"
0,"AllReduce",1,24,24,1,4194304,"float","sum",0,364.872519,11.495259,22.032579,"0"
0,"AllReduce",1,24,24,1,4194304,"float","sum",1,359.147825,11.678489,22.383771,"0"
0,"AllReduce",1,24,24,1,8388608,"float","sum",0,358.649083,23.389459,44.829796,"0"
0,"AllReduce",1,24,24,1,8388608,"float","sum",1,351.943552,23.835095,45.683932,"0"
0,"AllReduce",1,24,24,1,16777216,"float","sum",0,365.187973,45.941316,88.054189,"0"
0,"AllReduce",1,24,24,1,16777216,"float","sum",1,361.815469,46.369538,88.874947,"0"
0,"AllReduce",1,24,24,1,33554432,"float","sum",0,395.650025,84.808366,162.549368,"0"
0,"AllReduce",1,24,24,1,33554432,"float","sum",1,389.177356,86.218870,165.252835,"0"
0,"AllReduce",1,24,24,1,67108864,"float","sum",0,478.246358,140.322791,268.952017,"0"
0,"AllReduce",1,24,24,1,67108864,"float","sum",1,477.176467,140.637413,269.555042,"0"
0,"AllReduce",1,24,24,1,134217728,"float","sum",0,1038.352775,129.260239,247.748792,"0"
0,"AllReduce",1,24,24,1,134217728,"float","sum",1,1031.994754,130.056599,249.275148,"0"
0,"AllReduce",1,24,24,1,268435456,"float","sum",0,1718.821527,156.174130,299.333748,"0"
0,"AllReduce",1,24,24,1,268435456,"float","sum",1,1718.380085,156.214250,299.410646,"0"
0,"AllReduce",1,24,24,1,536870912,"float","sum",0,3258.702912,164.749879,315.770602,"0"
0,"AllReduce",1,24,24,1,536870912,"float","sum",1,3263.949229,164.485068,315.263048,"0"
