numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,24,24,1,4096,"float","sum",0,487.517600,0.008402,0.016103,"0"
0,"AllReduce",1,24,24,1,4096,"float","sum",1,483.387944,0.008474,0.016241,"0"
0,"AllReduce",1,24,24,1,8192,"float","sum",0,484.814346,0.016897,0.032386,"0"
0,"AllReduce",1,24,24,1,8192,"float","sum",1,485.765823,0.016864,0.032323,"0"
0,"AllReduce",1,24,24,1,16384,"float","sum",0,491.714721,0.033320,0.063864,"0"
0,"AllReduce",1,24,24,1,16384,"float","sum",1,486.114473,0.033704,0.064599,"0"
0,"AllReduce",1,24,24,1,32768,"float","sum",0,490.043304,0.066868,0.128163,"0"
0,"AllReduce",1,24,24,1,32768,"float","sum",1,489.176052,0.066986,0.128390,"0"
0,"AllReduce",1,24,24,1,65536,"float","sum",0,498.929535,0.131353,0.251760,"0"
0,"AllReduce",1,24,24,1,65536,"float","sum",1,496.876000,0.131896,0.252801,"0"
0,"AllReduce",1,24,24,1,131072,"float","sum",0,499.682717,0.262310,0.502762,"0"
0,"AllReduce",1,24,24,1,131072,"float","sum",1,500.079698,0.262102,0.502363,"0"
0,"AllReduce",1,24,24,1,262144,"float","sum",0,515.075063,0.508943,0.975475,"0"
0,"AllReduce",1,24,24,1,262144,"float","sum",1,512.638437,0.511362,0.980111,"0"
0,"AllReduce",1,24,24,1,524288,"float","sum",0,555.952913,0.943044,1.807501,"0"
0,"AllReduce",1,24,24,1,524288,"float","sum",1,552.619306,0.948733,1.818404,"0"
0,"AllReduce",1,24,24,1,1048576,"float","sum",0,686.905813,1.526521,2.925832,"0"
0,"AllReduce",1,24,24,1,1048576,"float","sum",1,687.078706,1.526137,2.925095,"0"
0,"AllReduce",1,24,24,1,2097152,"float","sum",0,836.474981,2.507131,4.805334,"0"
0,"AllReduce",1,24,24,1,2097152,"float","sum",1,837.386581,2.504401,4.800102,"0"
0,"AllReduce",1,24,24,1,4194304,"float","sum",0,879.636225,4.768226,9.139099,"0"
0,"AllReduce",1,24,24,1,4194304,"float","sum",1,879.084527,4.771218,9.144835,"0"
0,"AllReduce",1,24,24,1,8388608,"float","sum",0,883.827085,9.491232,18.191528,"0"
0,"AllReduce",1,24,24,1,8388608,"float","sum",1,882.640365,9.503993,18.215987,"0"
0,"AllReduce",1,24,24,1,16777216,"float","sum",0,904.638925,18.545760,35.546039,"0"
0,"AllReduce",1,24,24,1,16777216,"float","sum",1,902.955575,18.580334,35.612306,"0"
0,"AllReduce",1,24,24,1,33554432,"float","sum",0,925.679215,36.248445,69.476186,"0"
0,"AllReduce",1,24,24,1,33554432,"float","sum",1,925.303996,36.263144,69.504359,"0"
0,"AllReduce",1,24,24,1,67108864,"float","sum",0,965.221044,69.526938,133.259965,"0"
0,"AllReduce",1,24,24,1,67108864,"float","sum",1,964.524783,69.577128,133.356161,"0"
0,"AllReduce",1,24,24,1,134217728,"float","sum",0,1056.136185,127.083732,243.577153,"0"
0,"AllReduce",1,24,24,1,134217728,"float","sum",1,1058.908600,126.751004,242.939424,"0"
0,"AllReduce",1,24,24,1,268435456,"float","sum",0,1465.834548,183.128073,350.995473,"0"
0,"AllReduce",1,24,24,1,268435456,"float","sum",1,1462.774350,183.511186,351.729773,"0"
0,"AllReduce",1,24,24,1,536870912,"float","sum",0,2720.920550,197.312234,378.181782,"0"
0,"AllReduce",1,24,24,1,536870912,"float","sum",1,2720.765344,197.323490,378.203355,"0"
