numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,24,24,1,4096,"float","none",0,28.299694,0.144737,0.144737,"0"
0,"Broadcast",1,24,24,1,4096,"float","none",1,29.204069,0.140254,0.140254,"0"
0,"Broadcast",1,24,24,1,8192,"float","none",0,26.840042,0.305216,0.305216,"0"
0,"Broadcast",1,24,24,1,8192,"float","none",1,27.242454,0.300707,0.300707,"0"
0,"Broadcast",1,24,24,1,16384,"float","none",0,31.340235,0.522778,0.522778,"0"
0,"Broadcast",1,24,24,1,16384,"float","none",1,30.079781,0.544685,0.544685,"0"
0,"Broadcast",1,24,24,1,32768,"float","none",0,34.921654,0.938329,0.938329,"0"
0,"Broadcast",1,24,24,1,32768,"float","none",1,34.906460,0.938737,0.938737,"0"
0,"Broadcast",1,24,24,1,65536,"float","none",0,46.474952,1.410136,1.410136,"0"
0,"Broadcast",1,24,24,1,65536,"float","none",1,79.544667,0.823889,0.823889,"0"
0,"Broadcast",1,24,24,1,131072,"float","none",0,79.259106,1.653715,1.653715,"0"
0,"Broadcast",1,24,24,1,131072,"float","none",1,79.381875,1.651158,1.651158,"0"
0,"Broadcast",1,24,24,1,262144,"float","none",0,105.451144,2.485928,2.485928,"0"
0,"Broadcast",1,24,24,1,262144,"float","none",1,104.599967,2.506158,2.506158,"0"
0,"Broadcast",1,24,24,1,524288,"float","none",0,108.059285,4.851855,4.851855,"0"
0,"Broadcast",1,24,24,1,524288,"float","none",1,108.229235,4.844236,4.844236,"0"
0,"Broadcast",1,24,24,1,1048576,"float","none",0,116.600910,8.992863,8.992863,"0"
0,"Broadcast",1,24,24,1,1048576,"float","none",1,116.354246,9.011927,9.011927,"0"
0,"Broadcast",1,24,24,1,2097152,"float","none",0,136.126258,15.405933,15.405933,"0"
0,"Broadcast",1,24,24,1,2097152,"float","none",1,136.285427,15.387940,15.387940,"0"
0,"Broadcast",1,24,24,1,4194304,"float","none",0,176.413027,23.775478,23.775478,"0"
0,"Broadcast",1,24,24,1,4194304,"float","none",1,175.539429,23.893800,23.893800,"0"
0,"Broadcast",1,24,24,1,8388608,"float","none",0,294.964906,28.439343,28.439343,"0"
0,"Broadcast",1,24,24,1,8388608,"float","none",1,294.352319,28.498529,28.498529,"0"
0,"Broadcast",1,24,24,1,16777216,"float","none",0,506.893240,33.098125,33.098125,"0"
0,"Broadcast",1,24,24,1,16777216,"float","none",1,511.217813,32.818137,32.818137,"0"
0,"Broadcast",1,24,24,1,33554432,"float","none",0,879.787110,38.139263,38.139263,"0"
0,"Broadcast",1,24,24,1,33554432,"float","none",1,878.935390,38.176221,38.176221,"0"
0,"Broadcast",1,24,24,1,67108864,"float","none",0,1646.142242,40.767354,40.767354,"0"
0,"Broadcast",1,24,24,1,67108864,"float","none",1,1645.005967,40.795514,40.795514,"0"
0,"Broadcast",1,24,24,1,134217728,"float","none",0,3251.200446,41.282514,41.282514,"0"
0,"Broadcast",1,24,24,1,134217728,"float","none",1,3239.852821,41.427107,41.427107,"0"
0,"Broadcast",1,24,24,1,268435456,"float","none",0,6421.997044,41.799374,41.799374,"0"
0,"Broadcast",1,24,24,1,268435456,"float","none",1,6461.192077,41.545810,41.545810,"0"
0,"Broadcast",1,24,24,1,536870912,"float","none",0,12814.225210,41.896479,41.896479,"0"
0,"Broadcast",1,24,24,1,536870912,"float","none",1,13015.668017,41.248049,41.248049,"0"
