numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,24,24,1,4096,"float","none",0,30.891652,0.132592,0.132592,"0"
0,"Broadcast",1,24,24,1,4096,"float","none",1,29.417833,0.139235,0.139235,"0"
0,"Broadcast",1,24,24,1,8192,"float","none",0,29.393098,0.278705,0.278705,"0"
0,"Broadcast",1,24,24,1,8192,"float","none",1,29.474169,0.277938,0.277938,"0"
0,"Broadcast",1,24,24,1,16384,"float","none",0,31.212977,0.524910,0.524910,"0"
0,"Broadcast",1,24,24,1,16384,"float","none",1,30.101596,0.544290,0.544290,"0"
0,"Broadcast",1,24,24,1,32768,"float","none",0,31.483121,1.040812,1.040812,"0"
0,"Broadcast",1,24,24,1,32768,"float","none",1,31.219925,1.049586,1.049586,"0"
0,"Broadcast",1,24,24,1,65536,"float","none",0,92.994433,0.704730,0.704730,"0"
0,"Broadcast",1,24,24,1,65536,"float","none",1,93.151671,0.703541,0.703541,"0"
0,"Broadcast",1,24,24,1,131072,"float","none",0,129.457663,1.012470,1.012470,"0"
0,"Broadcast",1,24,24,1,131072,"float","none",1,130.085833,1.007581,1.007581,"0"
0,"Broadcast",1,24,24,1,262144,"float","none",0,133.705098,1.960613,1.960613,"0"
0,"Broadcast",1,24,24,1,262144,"float","none",1,133.925785,1.957383,1.957383,"0"
0,"Broadcast",1,24,24,1,524288,"float","none",0,135.856804,3.859122,3.859122,"0"
0,"Broadcast",1,24,24,1,524288,"float","none",1,135.778933,3.861335,3.861335,"0"
0,"Broadcast",1,24,24,1,1048576,"float","none",0,141.115533,7.430621,7.430621,"0"
0,"Broadcast",1,24,24,1,1048576,"float","none",1,141.914079,7.388809,7.388809,"0"
0,"Broadcast",1,24,24,1,2097152,"float","none",0,152.238594,13.775429,13.775429,"0"
0,"Broadcast",1,24,24,1,2097152,"float","none",1,153.434800,13.668034,13.668034,"0"
0,"Broadcast",1,24,24,1,4194304,"float","none",0,164.505254,25.496474,25.496474,"0"
0,"Broadcast",1,24,24,1,4194304,"float","none",1,163.366206,25.674245,25.674245,"0"
0,"Broadcast",1,24,24,1,8388608,"float","none",0,207.691419,40.389767,40.389767,"0"
0,"Broadcast",1,24,24,1,8388608,"float","none",1,187.405392,44.761828,44.761828,"0"
0,"Broadcast",1,24,24,1,16777216,"float","none",0,234.248058,71.621580,71.621580,"0"
0,"Broadcast",1,24,24,1,16777216,"float","none",1,232.471590,72.168888,72.168888,"0"
0,"Broadcast",1,24,24,1,33554432,"float","none",0,315.092079,106.490877,106.490877,"0"
0,"Broadcast",1,24,24,1,33554432,"float","none",1,315.626663,106.310512,106.310512,"0"
0,"Broadcast",1,24,24,1,67108864,"float","none",0,419.542608,159.957207,159.957207,"0"
0,"Broadcast",1,24,24,1,67108864,"float","none",1,418.752040,160.259193,160.259193,"0"
0,"Broadcast",1,24,24,1,134217728,"float","none",0,696.898044,192.593062,192.593062,"0"
0,"Broadcast",1,24,24,1,134217728,"float","none",1,694.613044,193.226616,193.226616,"0"
0,"Broadcast",1,24,24,1,268435456,"float","none",0,1066.101910,251.791553,251.791553,"0"
0,"Broadcast",1,24,24,1,268435456,"float","none",1,1069.733946,250.936653,250.936653,"0"
0,"Broadcast",1,24,24,1,536870912,"float","none",0,2013.991148,266.570641,266.570641,"0"
0,"Broadcast",1,24,24,1,536870912,"float","none",1,2008.033492,267.361533,267.361533,"0"
