numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,24,24,1,4096,"float","none",0,32.046550,0.127814,0.127814,"0"
0,"Broadcast",1,24,24,1,4096,"float","none",1,30.096233,0.136097,0.136097,"0"
0,"Broadcast",1,24,24,1,8192,"float","none",0,29.996102,0.273102,0.273102,"0"
0,"Broadcast",1,24,24,1,8192,"float","none",1,30.188765,0.271359,0.271359,"0"
0,"Broadcast",1,24,24,1,16384,"float","none",0,30.673225,0.534147,0.534147,"0"
0,"Broadcast",1,24,24,1,16384,"float","none",1,30.483883,0.537464,0.537464,"0"
0,"Broadcast",1,24,24,1,32768,"float","none",0,32.007048,1.023775,1.023775,"0"
0,"Broadcast",1,24,24,1,32768,"float","none",1,31.216554,1.049699,1.049699,"0"
0,"Broadcast",1,24,24,1,65536,"float","none",0,92.700194,0.706967,0.706967,"0"
0,"Broadcast",1,24,24,1,65536,"float","none",1,92.212781,0.710704,0.710704,"0"
0,"Broadcast",1,24,24,1,131072,"float","none",0,130.475579,1.004571,1.004571,"0"
0,"Broadcast",1,24,24,1,131072,"float","none",1,130.467723,1.004632,1.004632,"0"
0,"Broadcast",1,24,24,1,262144,"float","none",0,134.153400,1.954062,1.954062,"0"
0,"Broadcast",1,24,24,1,262144,"float","none",1,134.142896,1.954215,1.954215,"0"
0,"Broadcast",1,24,24,1,524288,"float","none",0,136.417931,3.843248,3.843248,"0"
0,"Broadcast",1,24,24,1,524288,"float","none",1,137.072598,3.824893,3.824893,"0"
0,"Broadcast",1,24,24,1,1048576,"float","none",0,141.596640,7.405373,7.405373,"0"
0,"Broadcast",1,24,24,1,1048576,"float","none",1,141.106694,7.431086,7.431086,"0"
0,"Broadcast",1,24,24,1,2097152,"float","none",0,152.435304,13.757653,13.757653,"0"
0,"Broadcast",1,24,24,1,2097152,"float","none",1,152.808038,13.724095,13.724095,"0"
0,"Broadcast",1,24,24,1,4194304,"float","none",0,162.813246,25.761442,25.761442,"0"
0,"Broadcast",1,24,24,1,4194304,"float","none",1,163.781633,25.609123,25.609123,"0"
0,"Broadcast",1,24,24,1,8388608,"float","none",0,189.224829,44.331434,44.331434,"0"
0,"Broadcast",1,24,24,1,8388608,"float","none",1,197.897771,42.388593,42.388593,"0"
0,"Broadcast",1,24,24,1,16777216,"float","none",0,241.622554,69.435637,69.435637,"0"
0,"Broadcast",1,24,24,1,16777216,"float","none",1,233.525779,71.843100,71.843100,"0"
0,"Broadcast",1,24,24,1,33554432,"float","none",0,316.228154,106.108300,106.108300,"0"
0,"Broadcast",1,24,24,1,33554432,"float","none",1,314.737250,106.610933,106.610933,"0"
0,"Broadcast",1,24,24,1,67108864,"float","none",0,421.108669,159.362343,159.362343,"0"
0,"Broadcast",1,24,24,1,67108864,"float","none",1,421.338535,159.275401,159.275401,"0"
0,"Broadcast",1,24,24,1,134217728,"float","none",0,698.499381,192.151535,192.151535,"0"
0,"Broadcast",1,24,24,1,134217728,"float","none",1,699.190404,191.961628,191.961628,"0"
0,"Broadcast",1,24,24,1,268435456,"float","none",0,1073.501154,250.056048,250.056048,"0"
0,"Broadcast",1,24,24,1,268435456,"float","none",1,1072.876446,250.201649,250.201649,"0"
0,"Broadcast",1,24,24,1,536870912,"float","none",0,2015.330950,266.393424,266.393424,"0"
0,"Broadcast",1,24,24,1,536870912,"float","none",1,2009.267696,267.197304,267.197304,"0"
