numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,24,24,1,4096,"float","sum",0,30.491265,0.134334,0.134334,"0"
0,"Reduce",1,24,24,1,4096,"float","sum",1,29.972842,0.136657,0.136657,"0"
0,"Reduce",1,24,24,1,8192,"float","sum",0,29.943575,0.273581,0.273581,"0"
0,"Reduce",1,24,24,1,8192,"float","sum",1,29.879023,0.274172,0.274172,"0"
0,"Reduce",1,24,24,1,16384,"float","sum",0,32.714413,0.500819,0.500819,"0"
0,"Reduce",1,24,24,1,16384,"float","sum",1,30.903894,0.530160,0.530160,"0"
0,"Reduce",1,24,24,1,32768,"float","sum",0,32.289338,1.014824,1.014824,"0"
0,"Reduce",1,24,24,1,32768,"float","sum",1,32.184942,1.018116,1.018116,"0"
0,"Reduce",1,24,24,1,65536,"float","sum",0,97.013379,0.675536,0.675536,"0"
0,"Reduce",1,24,24,1,65536,"float","sum",1,96.639267,0.678151,0.678151,"0"
0,"Reduce",1,24,24,1,131072,"float","sum",0,135.891196,0.964536,0.964536,"0"
0,"Reduce",1,24,24,1,131072,"float","sum",1,136.013421,0.963670,0.963670,"0"
0,"Reduce",1,24,24,1,262144,"float","sum",0,140.637179,1.863974,1.863974,"0"
0,"Reduce",1,24,24,1,262144,"float","sum",1,140.148367,1.870475,1.870475,"0"
0,"Reduce",1,24,24,1,524288,"float","sum",0,142.463002,3.680170,3.680170,"0"
0,"Reduce",1,24,24,1,524288,"float","sum",1,141.654194,3.701182,3.701182,"0"
0,"Reduce",1,24,24,1,1048576,"float","sum",0,148.276227,7.071774,7.071774,"0"
0,"Reduce",1,24,24,1,1048576,"float","sum",1,147.278825,7.119666,7.119666,"0"
0,"Reduce",1,24,24,1,2097152,"float","sum",0,159.777156,13.125481,13.125481,"0"
0,"Reduce",1,24,24,1,2097152,"float","sum",1,157.245040,13.336840,13.336840,"0"
0,"Reduce",1,24,24,1,4194304,"float","sum",0,171.173342,24.503255,24.503255,"0"
0,"Reduce",1,24,24,1,4194304,"float","sum",1,173.582429,24.163183,24.163183,"0"
0,"Reduce",1,24,24,1,8388608,"float","sum",0,196.388433,42.714369,42.714369,"0"
0,"Reduce",1,24,24,1,8388608,"float","sum",1,192.320902,43.617765,43.617765,"0"
0,"Reduce",1,24,24,1,16777216,"float","sum",0,255.156596,65.752625,65.752625,"0"
0,"Reduce",1,24,24,1,16777216,"float","sum",1,235.931552,71.110523,71.110523,"0"
0,"Reduce",1,24,24,1,33554432,"float","sum",0,328.000504,102.299940,102.299940,"0"
0,"Reduce",1,24,24,1,33554432,"float","sum",1,315.954858,106.200082,106.200082,"0"
0,"Reduce",1,24,24,1,67108864,"float","sum",0,436.026769,153.909963,153.909963,"0"
0,"Reduce",1,24,24,1,67108864,"float","sum",1,424.048254,158.257612,158.257612,"0"
0,"Reduce",1,24,24,1,134217728,"float","sum",0,721.503877,186.024957,186.024957,"0"
0,"Reduce",1,24,24,1,134217728,"float","sum",1,707.518438,189.702092,189.702092,"0"
0,"Reduce",1,24,24,1,268435456,"float","sum",0,1107.962663,242.278431,242.278431,"0"
0,"Reduce",1,24,24,1,268435456,"float","sum",1,1086.301252,247.109589,247.109589,"0"
0,"Reduce",1,24,24,1,536870912,"float","sum",0,2068.831371,259.504433,259.504433,"0"
0,"Reduce",1,24,24,1,536870912,"float","sum",1,2072.774727,259.010738,259.010738,"0"
