numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,24,24,1,4096,"float","sum",0,30.698217,0.133428,0.133428,"0"
0,"Reduce",1,24,24,1,4096,"float","sum",1,30.018779,0.136448,0.136448,"0"
0,"Reduce",1,24,24,1,8192,"float","sum",0,30.001002,0.273058,0.273058,"0"
0,"Reduce",1,24,24,1,8192,"float","sum",1,30.242044,0.270881,0.270881,"0"
0,"Reduce",1,24,24,1,16384,"float","sum",0,31.754560,0.515957,0.515957,"0"
0,"Reduce",1,24,24,1,16384,"float","sum",1,30.846446,0.531147,0.531147,"0"
0,"Reduce",1,24,24,1,32768,"float","sum",0,31.890887,1.027504,1.027504,"0"
0,"Reduce",1,24,24,1,32768,"float","sum",1,31.788633,1.030809,1.030809,"0"
0,"Reduce",1,24,24,1,65536,"float","sum",0,96.136025,0.681701,0.681701,"0"
0,"Reduce",1,24,24,1,65536,"float","sum",1,96.028073,0.682467,0.682467,"0"
0,"Reduce",1,24,24,1,131072,"float","sum",0,134.667362,0.973302,0.973302,"0"
0,"Reduce",1,24,24,1,131072,"float","sum",1,135.462208,0.967591,0.967591,"0"
0,"Reduce",1,24,24,1,262144,"float","sum",0,140.414517,1.866929,1.866929,"0"
0,"Reduce",1,24,24,1,262144,"float","sum",1,140.046938,1.871830,1.871830,"0"
0,"Reduce",1,24,24,1,524288,"float","sum",0,142.149108,3.688296,3.688296,"0"
0,"Reduce",1,24,24,1,524288,"float","sum",1,141.778348,3.697941,3.697941,"0"
0,"Reduce",1,24,24,1,1048576,"float","sum",0,147.020417,7.132179,7.132179,"0"
0,"Reduce",1,24,24,1,1048576,"float","sum",1,147.497344,7.109118,7.109118,"0"
0,"Reduce",1,24,24,1,2097152,"float","sum",0,160.706950,13.049541,13.049541,"0"
0,"Reduce",1,24,24,1,2097152,"float","sum",1,157.435998,13.320664,13.320664,"0"
0,"Reduce",1,24,24,1,4194304,"float","sum",0,171.163694,24.504636,24.504636,"0"
0,"Reduce",1,24,24,1,4194304,"float","sum",1,167.550329,25.033099,25.033099,"0"
0,"Reduce",1,24,24,1,8388608,"float","sum",0,195.427358,42.924430,42.924430,"0"
0,"Reduce",1,24,24,1,8388608,"float","sum",1,191.178338,43.878444,43.878444,"0"
0,"Reduce",1,24,24,1,16777216,"float","sum",0,245.647673,68.297883,68.297883,"0"
0,"Reduce",1,24,24,1,16777216,"float","sum",1,239.180448,70.144596,70.144596,"0"
0,"Reduce",1,24,24,1,33554432,"float","sum",0,326.271398,102.842089,102.842089,"0"
0,"Reduce",1,24,24,1,33554432,"float","sum",1,314.319227,106.752719,106.752719,"0"
0,"Reduce",1,24,24,1,67108864,"float","sum",0,437.424512,153.418160,153.418160,"0"
0,"Reduce",1,24,24,1,67108864,"float","sum",1,433.519621,154.800062,154.800062,"0"
0,"Reduce",1,24,24,1,134217728,"float","sum",0,718.126135,186.899935,186.899935,"0"
0,"Reduce",1,24,24,1,134217728,"float","sum",1,701.642381,191.290794,191.290794,"0"
0,"Reduce",1,24,24,1,268435456,"float","sum",0,1097.692667,244.545185,244.545185,"0"
0,"Reduce",1,24,24,1,268435456,"float","sum",1,1083.481060,247.752790,247.752790,"0"
0,"Reduce",1,24,24,1,536870912,"float","sum",0,2067.555815,259.664532,259.664532,"0"
0,"Reduce",1,24,24,1,536870912,"float","sum",1,2064.295902,260.074591,260.074591,"0"
