numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,24,24,1,4096,"float","sum",0,32.788725,0.124921,0.124921,"0"
0,"Reduce",1,24,24,1,4096,"float","sum",1,30.162721,0.135797,0.135797,"0"
0,"Reduce",1,24,24,1,8192,"float","sum",0,30.174660,0.271486,0.271486,"0"
0,"Reduce",1,24,24,1,8192,"float","sum",1,30.184388,0.271399,0.271399,"0"
0,"Reduce",1,24,24,1,16384,"float","sum",0,30.862179,0.530876,0.530876,"0"
0,"Reduce",1,24,24,1,16384,"float","sum",1,30.829769,0.531434,0.531434,"0"
0,"Reduce",1,24,24,1,32768,"float","sum",0,31.740452,1.032373,1.032373,"0"
0,"Reduce",1,24,24,1,32768,"float","sum",1,31.703650,1.033572,1.033572,"0"
0,"Reduce",1,24,24,1,65536,"float","sum",0,96.737635,0.677461,0.677461,"0"
0,"Reduce",1,24,24,1,65536,"float","sum",1,96.035863,0.682412,0.682412,"0"
0,"Reduce",1,24,24,1,131072,"float","sum",0,135.879177,0.964622,0.964622,"0"
0,"Reduce",1,24,24,1,131072,"float","sum",1,135.770010,0.965397,0.965397,"0"
0,"Reduce",1,24,24,1,262144,"float","sum",0,141.737235,1.849507,1.849507,"0"
0,"Reduce",1,24,24,1,262144,"float","sum",1,139.744188,1.875885,1.875885,"0"
0,"Reduce",1,24,24,1,524288,"float","sum",0,142.143215,3.688449,3.688449,"0"
0,"Reduce",1,24,24,1,524288,"float","sum",1,141.544077,3.704062,3.704062,"0"
0,"Reduce",1,24,24,1,1048576,"float","sum",0,147.592406,7.104539,7.104539,"0"
0,"Reduce",1,24,24,1,1048576,"float","sum",1,146.991735,7.133571,7.133571,"0"
0,"Reduce",1,24,24,1,2097152,"float","sum",0,166.706565,12.579901,12.579901,"0"
0,"Reduce",1,24,24,1,2097152,"float","sum",1,157.119356,13.347509,13.347509,"0"
0,"Reduce",1,24,24,1,4194304,"float","sum",0,171.639023,24.436774,24.436774,"0"
0,"Reduce",1,24,24,1,4194304,"float","sum",1,167.983677,24.968521,24.968521,"0"
0,"Reduce",1,24,24,1,8388608,"float","sum",0,196.489806,42.692332,42.692332,"0"
0,"Reduce",1,24,24,1,8388608,"float","sum",1,192.670315,43.538664,43.538664,"0"
0,"Reduce",1,24,24,1,16777216,"float","sum",0,239.751585,69.977498,69.977498,"0"
0,"Reduce",1,24,24,1,16777216,"float","sum",1,235.572696,71.218848,71.218848,"0"
0,"Reduce",1,24,24,1,33554432,"float","sum",0,326.523475,102.762694,102.762694,"0"
0,"Reduce",1,24,24,1,33554432,"float","sum",1,316.266615,106.095397,106.095397,"0"
0,"Reduce",1,24,24,1,67108864,"float","sum",0,438.526775,153.032535,153.032535,"0"
0,"Reduce",1,24,24,1,67108864,"float","sum",1,423.414256,158.494578,158.494578,"0"
0,"Reduce",1,24,24,1,134217728,"float","sum",0,719.320244,186.589672,186.589672,"0"
0,"Reduce",1,24,24,1,134217728,"float","sum",1,702.369969,191.092635,191.092635,"0"
0,"Reduce",1,24,24,1,268435456,"float","sum",0,1101.760594,243.642274,243.642274,"0"
0,"Reduce",1,24,24,1,268435456,"float","sum",1,1092.360427,245.738906,245.738906,"0"
0,"Reduce",1,24,24,1,536870912,"float","sum",0,2067.515969,259.669536,259.669536,"0"
0,"Reduce",1,24,24,1,536870912,"float","sum",1,2064.688994,260.025076,260.025076,"0"
