numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,24,24,1,3840,"float","sum",0,980.179475,0.003918,0.003754,"0"
0,"ReduceScatter",1,24,24,1,3840,"float","sum",1,85.875088,0.044716,0.042853,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",0,85.684038,0.094113,0.090192,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",1,85.736121,0.094056,0.090137,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",0,84.775154,0.190244,0.182318,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",1,84.828160,0.190126,0.182204,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",0,86.340917,0.378036,0.362285,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",1,86.516208,0.377270,0.361551,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",0,88.046206,0.741429,0.710536,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",1,88.114975,0.740850,0.709981,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",0,91.908729,1.424718,1.365355,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",1,92.386335,1.417352,1.358296,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",0,101.714858,2.574727,2.467447,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",1,101.502406,2.580116,2.472611,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",0,100.539375,5.213480,4.996251,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",1,100.482331,5.216439,4.999088,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",0,99.085440,10.579960,10.139128,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",1,99.137350,10.574420,10.133819,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",0,146.821646,14.282799,13.687682,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",1,144.826246,14.479585,13.876269,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",0,144.896425,28.945145,27.739097,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",1,145.139683,28.896632,27.692606,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",0,169.476208,49.496505,47.434151,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",1,167.736100,50.009986,47.926237,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",0,150.303079,111.620867,106.969997,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",1,149.135796,112.494522,107.807250,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",0,199.434052,168.247617,161.237300,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",1,199.655440,168.061056,161.058512,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",0,266.979081,251.362795,240.889345,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",1,268.142540,250.272143,239.844137,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",0,540.037271,248.533957,238.178376,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",1,537.959123,249.494049,239.098464,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",0,907.456581,295.810516,283.485078,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",1,899.970660,298.271057,285.843096,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",0,1707.502488,314.418742,301.317961,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",1,1709.388060,314.071916,300.985587,"0"
