numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,24,24,1,3840,"float","sum",0,256.956406,0.014944,0.014321,"0"
0,"ReduceScatter",1,24,24,1,3840,"float","sum",1,255.212979,0.015046,0.014419,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",0,255.375702,0.031577,0.030261,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",1,255.318083,0.031584,0.030268,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",0,256.428481,0.062895,0.060274,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",1,255.813540,0.063046,0.060419,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",0,263.571304,0.123837,0.118678,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",1,262.132290,0.124517,0.119329,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",0,264.769735,0.246554,0.236281,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",1,264.622054,0.246691,0.236413,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",0,272.292129,0.480895,0.460858,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",1,271.828058,0.481716,0.461645,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",0,292.126654,0.896488,0.859134,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",1,293.050842,0.893661,0.856425,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",0,294.616860,1.779124,1.704994,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",1,291.823469,1.796154,1.721315,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",0,294.875173,3.555131,3.407001,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",1,294.865396,3.555249,3.407114,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",0,366.577046,5.720555,5.482198,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",1,371.285208,5.648014,5.412680,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",0,367.772619,11.403916,10.928753,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",1,365.657537,11.469880,10.991968,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",0,418.423144,20.047839,19.212513,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",1,414.965875,20.214867,19.372581,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",0,465.162113,36.066910,34.564122,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",1,463.608119,36.187805,34.679979,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",0,476.447494,70.426027,67.491609,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",1,474.756196,70.676916,67.732045,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",0,494.856083,135.612373,129.961858,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",1,493.464173,135.994894,130.328440,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",0,548.548779,244.677602,234.482702,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",1,546.474444,245.606362,235.372763,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",0,766.583983,350.170635,335.580192,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",1,756.786606,354.703952,339.924621,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",0,1398.811971,383.804825,367.812958,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",1,1398.040010,384.016752,368.016054,"0"
