numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,24,24,1,3840,"float","sum",0,256.329554,0.014981,0.014357,"0"
0,"ReduceScatter",1,24,24,1,3840,"float","sum",1,256.054352,0.014997,0.014372,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",0,257.441256,0.031324,0.030018,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",1,254.236723,0.031718,0.030397,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",0,256.539533,0.062868,0.060248,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",1,255.325204,0.063167,0.060535,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",0,262.432721,0.124375,0.119192,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",1,262.017144,0.124572,0.119382,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",0,264.711194,0.246608,0.236333,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",1,263.897738,0.247369,0.237062,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",0,271.865683,0.481650,0.461581,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",1,271.179010,0.482869,0.462750,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",0,291.297252,0.899040,0.861580,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",1,291.811660,0.897456,0.860062,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",0,290.716194,1.802996,1.727871,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",1,292.831540,1.789971,1.715389,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",0,294.085098,3.564682,3.416154,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",1,293.662875,3.569808,3.421066,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",0,364.298177,5.756340,5.516492,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",1,362.098719,5.791305,5.550000,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",0,362.089133,11.582916,11.100294,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",1,362.188077,11.579752,11.097262,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",0,415.160283,20.205401,19.363509,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",1,414.324281,20.246170,19.402580,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",0,466.493710,35.963958,34.465459,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",1,459.482952,36.512693,34.991331,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",0,474.442550,70.723640,67.776821,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",1,471.858835,71.110895,68.147941,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",0,491.664250,136.492755,130.805557,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",1,490.382165,136.849610,131.147543,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",0,546.213988,245.723477,235.484998,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",1,541.936735,247.662857,237.343571,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",0,768.042690,349.505573,334.942840,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",1,759.157627,353.596131,338.862959,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",0,1400.969775,383.213681,367.246444,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",1,1393.461615,385.278488,369.225218,"0"
