numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,24,24,1,3840,"float","sum",0,256.926263,0.014946,0.014323,"0"
0,"ReduceScatter",1,24,24,1,3840,"float","sum",1,255.176300,0.015048,0.014421,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",0,256.647960,0.031420,0.030111,"0"
0,"ReduceScatter",1,24,24,1,8064,"float","sum",1,255.720035,0.031534,0.030221,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",0,256.882267,0.062784,0.060168,"0"
0,"ReduceScatter",1,24,24,1,16128,"float","sum",1,257.641719,0.062599,0.059990,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",0,262.174133,0.124497,0.119310,"0"
0,"ReduceScatter",1,24,24,1,32640,"float","sum",1,261.414677,0.124859,0.119657,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",0,263.468792,0.247771,0.237447,"0"
0,"ReduceScatter",1,24,24,1,65280,"float","sum",1,263.313365,0.247918,0.237588,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",0,271.501452,0.482296,0.462200,"0"
0,"ReduceScatter",1,24,24,1,130944,"float","sum",1,271.175956,0.482875,0.462755,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",0,292.559200,0.895162,0.857864,"0"
0,"ReduceScatter",1,24,24,1,261888,"float","sum",1,291.353954,0.898865,0.861413,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",0,293.853285,1.783747,1.709424,"0"
0,"ReduceScatter",1,24,24,1,524160,"float","sum",1,293.182671,1.787827,1.713335,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",0,295.526198,3.547300,3.399496,"0"
0,"ReduceScatter",1,24,24,1,1048320,"float","sum",1,295.292198,3.550111,3.402189,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",0,368.097198,5.696930,5.459558,"0"
0,"ReduceScatter",1,24,24,1,2097024,"float","sum",1,363.594790,5.767475,5.527164,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",0,361.795367,11.592321,11.109308,"0"
0,"ReduceScatter",1,24,24,1,4194048,"float","sum",1,365.169048,11.485223,11.006672,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",0,418.592415,20.039732,19.204744,"0"
0,"ReduceScatter",1,24,24,1,8388480,"float","sum",1,415.550185,20.186443,19.345341,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",0,462.432981,36.279765,34.768108,"0"
0,"ReduceScatter",1,24,24,1,16776960,"float","sum",1,481.647706,34.832430,33.381079,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",0,479.299096,70.007025,67.090066,"0"
0,"ReduceScatter",1,24,24,1,33554304,"float","sum",1,474.404558,70.729304,67.782249,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",0,526.057915,127.568859,122.253490,"0"
0,"ReduceScatter",1,24,24,1,67108608,"float","sum",1,493.608623,135.955097,130.290301,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",0,547.549444,245.124165,234.910658,"0"
0,"ReduceScatter",1,24,24,1,134217600,"float","sum",1,543.652442,246.881260,236.594541,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",0,767.618996,349.698485,335.127715,"0"
0,"ReduceScatter",1,24,24,1,268435200,"float","sum",1,757.326765,354.450962,339.682172,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",0,1401.279733,383.128915,367.165210,"0"
0,"ReduceScatter",1,24,24,1,536870784,"float","sum",1,1389.575027,386.356097,370.257926,"0"
