collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,time_ip_us,busbw_ip,time_oop_us,busbw_oop,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,4096,RING,LL,1,RING,LL,0,6.27,0.27,6.2,0.23,3,20.414673046251984,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,2,RING,LL,0,6.32,0.26,5.99,0.24,3,4.430379746835446,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,4,RING,LL,0,6.57,0.26,5.98,0.23,3,19.178082191780817,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,8,RING,LL,0,6.19,0.26,6.0,0.23,3,2.2617124394184116,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,16,RING,LL,0,5.93,0.27,6.37,0.23,3,21.753794266441822,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,24,RING,LL,0,6.14,0.27,6.14,0.23,3,1.9543973941368098,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,32,RING,LL,0,6.29,0.26,6.19,0.22,3,28.61685214626391,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,40,RING,LL,0,6.02,0.26,6.22,0.22,3,1.8272425249169488,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,48,RING,LL,0,5.85,0.26,6.01,0.24,3,2.56410256410257,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,LL,56,RING,LL,0,6.63,0.26,6.47,0.23,3,17.345399698340866,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,1,RING,SIMPLE,0,7.27,0.16,6.5,0.15,3,16.91884456671251,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,2,RING,SIMPLE,0,6.08,0.16,5.99,0.15,3,2.3026315789473633,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,4,RING,SIMPLE,0,6.26,0.17,5.89,0.15,3,21.56549520766774,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,8,RING,SIMPLE,0,6.5,0.16,6.89,0.15,3,12.92307692307692,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,16,RING,SIMPLE,0,6.18,0.16,6.01,0.15,3,2.588996763754048,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,24,RING,SIMPLE,0,5.85,0.16,5.95,0.15,3,49.23076923076925,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,32,RING,SIMPLE,0,6.08,0.16,6.2,0.16,3,5.756578947368415,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,40,RING,SIMPLE,0,5.94,0.16,6.01,0.15,3,20.87542087542088,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,48,RING,SIMPLE,0,5.97,0.16,6.03,0.15,3,11.892797319932997,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,RING,SIMPLE,56,RING,SIMPLE,0,5.85,0.16,5.91,0.15,3,11.794871794871788,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,1,TREE,LL,0,5.99,0.29,5.94,0.26,3,9.515859766277133,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,1,,,0,6.1,0.29,5.98,0.26,3,5.901639344262301,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,2,TREE,LL,0,5.96,0.32,6.08,0.29,3,7.718120805369128,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,4,TREE,LL,0,5.97,0.32,6.05,0.27,3,4.857621440536014,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,8,TREE,LL,0,6.29,0.31,6.12,0.3,3,2.384737678855332,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,16,TREE,LL,0,6.11,0.33,6.16,0.26,3,8.019639934533554,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,24,TREE,LL,0,5.94,0.32,6.04,0.29,3,8.417508417508417,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,32,TREE,LL,0,6.18,0.31,6.14,0.27,3,22.6537216828479,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,40,TREE,LL,0,6.07,0.3,6.07,0.29,3,2.9654036243822173,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,48,TREE,LL,0,5.88,0.32,6.02,0.29,3,1.1904761904761954,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,4096,TREE,LL,56,TREE,LL,0,5.99,0.32,6.02,0.29,3,15.52587646076794,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,1,RING,LL,0,6.29,0.53,19.05,0.45,3,1.5898251192368782,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,2,RING,LL,0,6.68,0.54,10.06,0.45,3,12.425149700598805,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,4,RING,LL,0,6.03,0.52,10.14,0.47,3,7.960199004975131,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,8,RING,LL,0,6.12,0.53,12.4,0.48,3,10.294117647058822,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,16,RING,LL,0,6.37,0.53,21.47,0.44,3,15.698587127158556,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,24,RING,LL,0,5.97,0.52,16.02,0.5,3,5.360134003350089,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,32,RING,LL,0,6.67,0.52,15.44,0.48,3,9.595202398800595,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,40,RING,LL,0,6.3,0.51,16.92,0.46,3,14.126984126984121,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,48,RING,LL,0,6.14,0.53,16.19,0.48,3,17.263843648208464,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,LL,56,RING,LL,0,6.15,0.52,19.23,0.48,3,17.23577235772357,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,SIMPLE,1,RING,SIMPLE,0,6.54,0.33,19.8,0.32,3,13.608562691131507,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,SIMPLE,2,RING,SIMPLE,0,6.02,0.33,19.65,0.32,3,4.152823920265781,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,SIMPLE,4,RING,SIMPLE,0,5.86,0.33,14.15,0.33,3,15.529010238907851,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,SIMPLE,8,RING,SIMPLE,0,6.08,0.33,11.87,0.32,3,2.6315789473684235,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,RING,SIMPLE,16,RING,SIMPLE,0,6.02,0.32,17.87,0.32,3,8.305647840531561,1024,float,sum,0.09,0.08,0,0
