collective,num_nodes,num_gpus,size_bytes,count,data_type,redop,time_oop_us,algbw_oop,busbw_oop,errors_oop,time_ip_us,algbw_ip,busbw_ip,errors_ip,algo,proto,nchannels,requested_algo,requested_proto,requested_nchannels,substituted,measured_algo_raw,nchannels_source
all_reduce_perf,2,16,4096,1024,float,sum,271.4,0.02,0.03,0,271.08,0.02,0.03,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,8192,2048,float,sum,278.83,0.03,0.06,0,271.48,0.03,0.06,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,16384,4096,float,sum,274.22,0.06,0.11,0,272.09,0.06,0.11,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,32768,8192,float,sum,280.21,0.12,0.22,0,276.71,0.12,0.22,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,65536,16384,float,sum,282.66,0.23,0.43,0,284.37,0.23,0.43,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,131072,32768,float,sum,281.73,0.47,0.87,0,283.02,0.46,0.87,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,262144,65536,float,sum,290.56,0.9,1.69,0,290.25,0.9,1.69,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,524288,131072,float,sum,310.49,1.69,3.17,0,309.25,1.7,3.18,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,1048576,262144,float,sum,350.83,2.99,5.6,0,346.77,3.02,5.67,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,2097152,524288,float,sum,450.9,4.65,8.72,0,445.0,4.71,8.84,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,4194304,1048576,float,sum,668.11,6.28,11.77,0,658.62,6.37,11.94,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
all_reduce_perf,2,16,8388608,2097152,float,sum,1105.93,7.59,14.22,0,1098.44,7.64,14.32,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
