utc_start,phase,scale,detail,duration_s,rc,notes
2026-08-04T15:01:19Z,validate_conf,3n,default_r1,12,0,ok
2026-08-04T15:01:31Z,validate_conf,3n,config_r1,12,0,ok
2026-08-04T15:01:44Z,validate_conf,3n,default_r2,12,0,ok
2026-08-04T15:01:56Z,validate_conf,3n,config_r2,12,0,ok
2026-08-04T15:02:08Z,validate_conf,3n,default_r3,12,0,ok
2026-08-04T15:02:21Z,validate_conf,3n,config_r3,12,0,ok
2026-08-04T15:02:33Z,validate_conf,3n,default_r4,12,0,ok
2026-08-04T15:02:45Z,validate_conf,3n,config_r4,12,0,ok
2026-08-04T15:02:58Z,validate_conf,3n,default_r5,12,0,ok
2026-08-04T15:03:10Z,validate_conf,3n,config_r5,12,0,ok
2026-08-04T15:03:22Z,validate_conf,3n,default_r6,12,0,ok
2026-08-04T15:03:34Z,validate_conf,3n,config_r6,12,0,ok
2026-08-04T15:03:46Z,validate_conf,3n,default_r7,12,0,ok
2026-08-04T15:03:58Z,validate_conf,3n,config_r7,12,0,ok
