collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,busbw_ip,time_ip_us,busbw_oop,time_oop_us,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,3,24,4096,TREE,LL,2,TREE,LL,0,0.11,72.18,0.11,72.63,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,8192,TREE,LL,4,TREE,LL,0,0.22,72.74,0.21,73.27,3,4.545454545454549,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,16384,TREE,LL,8,TREE,LL,0,0.43,73.36,0.43,73.77,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,32768,TREE,LL,16,TREE,LL,0,0.83,75.77,0.82,76.39,3,42.16867469879518,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,65536,TREE,LL,32,TREE,LL,0,1.58,79.64,1.56,80.49,3,0.0,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,131072,TREE,LL128,8,TREE,LL128,0,2.77,90.54,2.76,90.97,3,0.361010830324902,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,262144,TREE,LL128,16,TREE,LL128,0,5.39,93.15,5.38,93.41,3,0.3710575139146653,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,524288,TREE,LL128,16,TREE,LL128,0,9.84,102.08,9.83,102.19,3,0.4065040650406418,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,1048576,TREE,LL128,16,TREE,LL128,0,18.21,110.39,18.26,110.08,3,0.8237232289950498,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,2097152,TREE,LL128,24,TREE,LL128,0,33.83,118.82,33.6,119.63,3,0.8572273130357646,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,4194304,TREE,LL128,32,TREE,LL128,0,59.58,134.93,59.47,135.17,3,1.7623363544813648,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,8388608,TREE,LL128,48,TREE,LL128,0,102.19,157.34,101.22,158.84,3,6.301986495743221,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,16777216,TREE,LL128,48,TREE,LL128,0,149.45,215.17,149.11,215.65,3,0.1672800267648043,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,33554432,RING,LL128,32,RING,LL128,0,203.81,315.56,202.82,317.09,3,4.577793042539626,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,67108864,RING,LL128,40,RING,LL128,0,267.98,479.98,268.18,479.62,3,2.0897081871781347,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,134217728,RING,LL128,40,RING,LL128,0,271.37,947.95,270.72,950.25,3,0.8917713822456274,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,268435456,RING,SIMPLE,32,RING,SIMPLE,0,332.48,1547.48,332.76,1546.16,3,0.4090471607314595,1024,float,sum,0.01,0.01,0,0
all_reduce_perf,3,24,536870912,RING,SIMPLE,32,RING,SIMPLE,0,365.59,2814.64,365.78,2813.16,3,0.1531770562652157,1024,float,sum,0.01,0.01,0,0
