collective,min_bytes,max_bytes,min_human,max_human,algorithm,protocol,channels,num_nodes,num_ranks
allreduce,4096,4096,4KB,4KB,tree,ll,2,3,24
allreduce,8192,8192,8KB,8KB,tree,ll,4,3,24
allreduce,16384,16384,16KB,16KB,tree,ll,8,3,24
allreduce,32768,65536,32KB,64KB,tree,ll,32,3,24
allreduce,131072,131072,128KB,128KB,tree,ll128,16,3,24
allreduce,262144,524288,256KB,512KB,tree,ll128,32,3,24
allreduce,1048576,2097152,1MB,2MB,tree,ll128,48,3,24
allreduce,4194304,4194304,4MB,4MB,tree,ll128,40,3,24
allreduce,8388608,16777216,8MB,16MB,tree,ll128,56,3,24
allreduce,33554432,33554432,32MB,32MB,ring,ll128,32,3,24
allreduce,67108864,67108864,64MB,64MB,ring,ll128,48,3,24
allreduce,134217728,134217728,128MB,128MB,ring,ll128,56,3,24
allreduce,268435456,536870912,256MB,512MB,ring,simple,48,3,24
