utc_start,phase,scale,detail,duration_s,rc,notes
2026-08-16T15:22:13Z,validate_conf,1n,default_r1,11,0,ok
2026-08-16T15:22:25Z,validate_conf,1n,config_r1,11,0,ok
2026-08-16T15:22:36Z,validate_conf,1n,default_r2,11,0,ok
2026-08-16T15:22:48Z,validate_conf,1n,config_r2,11,0,ok
2026-08-16T15:22:59Z,validate_conf,1n,default_r3,11,0,ok
2026-08-16T15:23:11Z,validate_conf,1n,config_r3,11,0,ok
2026-08-16T15:23:23Z,validate_conf,1n,default_r4,11,0,ok
2026-08-16T15:23:34Z,validate_conf,1n,config_r4,11,0,ok
2026-08-16T15:23:46Z,validate_conf,1n,default_r5,11,0,ok
2026-08-16T15:23:57Z,validate_conf,1n,config_r5,11,0,ok
2026-08-16T15:24:09Z,validate_conf,1n,default_r6,11,0,ok
2026-08-16T15:24:21Z,validate_conf,1n,config_r6,11,0,ok
2026-08-16T15:24:32Z,validate_conf,1n,default_r7,11,0,ok
2026-08-16T15:24:44Z,validate_conf,1n,config_r7,11,0,ok
