collective,num_nodes,num_gpus,size_bytes,busbw_ip,algo,proto,nchannels
broadcast_perf,1,8,4096,0.34,DEFAULT,DEFAULT,0
broadcast_perf,1,8,8192,0.7,DEFAULT,DEFAULT,0
broadcast_perf,1,8,16384,1.05,DEFAULT,DEFAULT,0
broadcast_perf,1,8,32768,2.18,DEFAULT,DEFAULT,0
broadcast_perf,1,8,65536,3.95,DEFAULT,DEFAULT,0
broadcast_perf,1,8,131072,6.21,DEFAULT,DEFAULT,0
broadcast_perf,1,8,262144,13.04,DEFAULT,DEFAULT,0
broadcast_perf,1,8,524288,10.18,DEFAULT,DEFAULT,0
broadcast_perf,1,8,1048576,19.46,DEFAULT,DEFAULT,0
broadcast_perf,1,8,2097152,37.95,DEFAULT,DEFAULT,0
broadcast_perf,1,8,4194304,66.11,DEFAULT,DEFAULT,0
broadcast_perf,1,8,8388608,108.04,DEFAULT,DEFAULT,0
broadcast_perf,1,8,16777216,164.71,DEFAULT,DEFAULT,0
broadcast_perf,1,8,33554432,222.71,DEFAULT,DEFAULT,0
broadcast_perf,1,8,67108864,250.55,DEFAULT,DEFAULT,0
broadcast_perf,1,8,134217728,302.53,DEFAULT,DEFAULT,0
broadcast_perf,1,8,268435456,315.87,DEFAULT,DEFAULT,0
broadcast_perf,1,8,536870912,350.13,DEFAULT,DEFAULT,0
reduce_perf,1,8,4096,0.36,DEFAULT,DEFAULT,0
reduce_perf,1,8,8192,0.67,DEFAULT,DEFAULT,0
reduce_perf,1,8,16384,1.05,DEFAULT,DEFAULT,0
reduce_perf,1,8,32768,2.16,DEFAULT,DEFAULT,0
reduce_perf,1,8,65536,3.7,DEFAULT,DEFAULT,0
reduce_perf,1,8,131072,5.78,DEFAULT,DEFAULT,0
reduce_perf,1,8,262144,12.26,DEFAULT,DEFAULT,0
reduce_perf,1,8,524288,9.78,DEFAULT,DEFAULT,0
reduce_perf,1,8,1048576,19.13,DEFAULT,DEFAULT,0
reduce_perf,1,8,2097152,37.23,DEFAULT,DEFAULT,0
reduce_perf,1,8,4194304,65.03,DEFAULT,DEFAULT,0
reduce_perf,1,8,8388608,107.7,DEFAULT,DEFAULT,0
reduce_perf,1,8,16777216,162.8,DEFAULT,DEFAULT,0
reduce_perf,1,8,33554432,211.5,DEFAULT,DEFAULT,0
reduce_perf,1,8,67108864,245.04,DEFAULT,DEFAULT,0
reduce_perf,1,8,134217728,283.93,DEFAULT,DEFAULT,0
reduce_perf,1,8,268435456,288.49,DEFAULT,DEFAULT,0
reduce_perf,1,8,536870912,292.62,DEFAULT,DEFAULT,0
broadcast_perf,2,16,4096,0.24,DEFAULT,DEFAULT,0
broadcast_perf,2,16,8192,0.44,DEFAULT,DEFAULT,0
broadcast_perf,2,16,16384,0.84,DEFAULT,DEFAULT,0
broadcast_perf,2,16,32768,1.21,DEFAULT,DEFAULT,0
broadcast_perf,2,16,65536,1.39,DEFAULT,DEFAULT,0
broadcast_perf,2,16,131072,2.66,DEFAULT,DEFAULT,0
broadcast_perf,2,16,262144,5.18,DEFAULT,DEFAULT,0
broadcast_perf,2,16,524288,9.84,DEFAULT,DEFAULT,0
broadcast_perf,2,16,1048576,17.07,DEFAULT,DEFAULT,0
broadcast_perf,2,16,2097152,29.11,DEFAULT,DEFAULT,0
broadcast_perf,2,16,4194304,44.1,DEFAULT,DEFAULT,0
broadcast_perf,2,16,8388608,74.9,DEFAULT,DEFAULT,0
broadcast_perf,2,16,16777216,113.65,DEFAULT,DEFAULT,0
broadcast_perf,2,16,33554432,167.92,DEFAULT,DEFAULT,0
broadcast_perf,2,16,67108864,217.91,DEFAULT,DEFAULT,0
broadcast_perf,2,16,134217728,259.81,DEFAULT,DEFAULT,0
broadcast_perf,2,16,268435456,285.39,DEFAULT,DEFAULT,0
broadcast_perf,2,16,536870912,296.59,DEFAULT,DEFAULT,0
reduce_perf,2,16,4096,0.25,DEFAULT,DEFAULT,0
reduce_perf,2,16,8192,0.52,DEFAULT,DEFAULT,0
reduce_perf,2,16,16384,0.84,DEFAULT,DEFAULT,0
reduce_perf,2,16,32768,1.4,DEFAULT,DEFAULT,0
reduce_perf,2,16,65536,1.54,DEFAULT,DEFAULT,0
reduce_perf,2,16,131072,2.11,DEFAULT,DEFAULT,0
reduce_perf,2,16,262144,4.96,DEFAULT,DEFAULT,0
reduce_perf,2,16,524288,9.65,DEFAULT,DEFAULT,0
reduce_perf,2,16,1048576,16.79,DEFAULT,DEFAULT,0
reduce_perf,2,16,2097152,28.5,DEFAULT,DEFAULT,0
reduce_perf,2,16,4194304,43.22,DEFAULT,DEFAULT,0
reduce_perf,2,16,8388608,74.48,DEFAULT,DEFAULT,0
reduce_perf,2,16,16777216,114.48,DEFAULT,DEFAULT,0
reduce_perf,2,16,33554432,164.26,DEFAULT,DEFAULT,0
reduce_perf,2,16,67108864,208.25,DEFAULT,DEFAULT,0
reduce_perf,2,16,134217728,243.69,DEFAULT,DEFAULT,0
reduce_perf,2,16,268435456,265.84,DEFAULT,DEFAULT,0
reduce_perf,2,16,536870912,287.62,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,4096,0.2,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,8192,0.39,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,16384,0.77,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,32768,1.47,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,65536,2.8,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,131072,4.87,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,262144,8.49,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,524288,16.69,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,1048576,30.24,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,2097152,51.58,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,4194304,93.06,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,8388608,143.85,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,16777216,194.73,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,33554432,222.82,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,67108864,291.26,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,134217728,313.41,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,268435456,368.01,DEFAULT,DEFAULT,0
all_reduce_perf,2,16,536870912,374.53,DEFAULT,DEFAULT,0
