collective,num_nodes,num_gpus,size_bytes,count,data_type,redop,time_oop_us,algbw_oop,busbw_oop,errors_oop,time_ip_us,algbw_ip,busbw_ip,errors_ip,algo,proto,nchannels,requested_algo,requested_proto,requested_nchannels,substituted,measured_algo_raw,nchannels_source
broadcast_perf,1,8,4096,1024,float,none,15.0,0.27,0.27,0,15.17,0.27,0.27,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,8192,2048,float,none,14.48,0.57,0.57,0,13.97,0.59,0.59,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,16384,4096,float,none,18.34,0.89,0.89,0,15.92,1.03,1.03,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,32768,8192,float,none,17.96,1.82,1.82,0,16.92,1.94,1.94,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,65536,16384,float,none,22.41,2.92,2.92,0,22.06,2.97,2.97,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,131072,32768,float,none,37.27,3.52,3.52,0,35.04,3.74,3.74,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,262144,65536,float,none,61.42,4.27,4.27,0,61.15,4.29,4.29,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,524288,131072,float,none,104.87,5.0,5.0,0,104.1,5.04,5.04,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,1048576,262144,float,none,199.7,5.25,5.25,0,197.96,5.3,5.3,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,2097152,524288,float,none,371.67,5.64,5.64,0,367.21,5.71,5.71,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,4194304,1048576,float,none,714.93,5.87,5.87,0,708.6,5.92,5.92,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,8388608,2097152,float,none,1329.88,6.31,6.31,0,1323.32,6.34,6.34,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,16777216,4194304,float,none,2638.27,6.36,6.36,0,2615.83,6.41,6.41,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,33554432,8388608,float,none,5506.87,6.09,6.09,0,5289.96,6.34,6.34,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,67108864,16777216,float,none,11023.7,6.09,6.09,0,10589.5,6.34,6.34,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,134217728,33554432,float,none,22055.3,6.09,6.09,0,21207.5,6.33,6.33,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,268435456,67108864,float,none,44216.3,6.07,6.07,0,42486.2,6.32,6.32,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,536870912,134217728,float,none,88508.1,6.07,6.07,0,84844.8,6.33,6.33,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,4096,1024,float,none,18.33,0.22,0.22,0,14.18,0.29,0.29,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,8192,2048,float,none,15.23,0.54,0.54,0,11.91,0.69,0.69,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,16384,4096,float,none,16.65,0.98,0.98,0,15.72,1.04,1.04,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,32768,8192,float,none,18.51,1.77,1.77,0,18.12,1.81,1.81,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,65536,16384,float,none,29.61,2.21,2.21,0,29.39,2.23,2.23,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,131072,32768,float,none,51.77,2.53,2.53,0,52.39,2.5,2.5,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,262144,65536,float,none,98.46,2.66,2.66,0,97.37,2.69,2.69,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,524288,131072,float,none,191.96,2.73,2.73,0,188.11,2.79,2.79,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,1048576,262144,float,none,380.77,2.75,2.75,0,369.36,2.84,2.84,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,2097152,524288,float,none,753.52,2.78,2.78,0,732.49,2.86,2.86,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,1,8,4194304,1048576,float,none,1503.3,2.79,2.79,0,1459.31,2.87,2.87,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
