collective,num_nodes,num_gpus,size_bytes,busbw_ip,algo,proto,nchannels
broadcast_perf,2,16,4096,0.12,DEFAULT,DEFAULT,0
broadcast_perf,2,16,8192,0.38,DEFAULT,DEFAULT,0
broadcast_perf,2,16,16384,0.86,DEFAULT,DEFAULT,0
broadcast_perf,2,16,32768,1.08,DEFAULT,DEFAULT,0
broadcast_perf,2,16,65536,1.38,DEFAULT,DEFAULT,0
broadcast_perf,2,16,131072,2.64,DEFAULT,DEFAULT,0
broadcast_perf,2,16,262144,5.13,DEFAULT,DEFAULT,0
broadcast_perf,2,16,524288,9.6,DEFAULT,DEFAULT,0
broadcast_perf,2,16,1048576,16.89,DEFAULT,DEFAULT,0
broadcast_perf,2,16,2097152,28.95,DEFAULT,DEFAULT,0
broadcast_perf,2,16,4194304,43.75,DEFAULT,DEFAULT,0
broadcast_perf,2,16,8388608,74.92,DEFAULT,DEFAULT,0
broadcast_perf,2,16,16777216,114.24,DEFAULT,DEFAULT,0
broadcast_perf,2,16,33554432,167.68,DEFAULT,DEFAULT,0
broadcast_perf,2,16,67108864,219.15,DEFAULT,DEFAULT,0
broadcast_perf,2,16,134217728,257.55,DEFAULT,DEFAULT,0
broadcast_perf,2,16,268435456,285.6,DEFAULT,DEFAULT,0
broadcast_perf,2,16,536870912,289.61,DEFAULT,DEFAULT,0
broadcast_perf,3,24,4096,0.12,DEFAULT,DEFAULT,0
broadcast_perf,3,24,8192,0.26,DEFAULT,DEFAULT,0
broadcast_perf,3,24,16384,0.48,DEFAULT,DEFAULT,0
broadcast_perf,3,24,32768,0.88,DEFAULT,DEFAULT,0
broadcast_perf,3,24,65536,0.7,DEFAULT,DEFAULT,0
broadcast_perf,3,24,131072,1.23,DEFAULT,DEFAULT,0
broadcast_perf,3,24,262144,2.25,DEFAULT,DEFAULT,0
broadcast_perf,3,24,524288,4.79,DEFAULT,DEFAULT,0
broadcast_perf,3,24,1048576,8.4,DEFAULT,DEFAULT,0
broadcast_perf,3,24,2097152,15.97,DEFAULT,DEFAULT,0
broadcast_perf,3,24,4194304,25.61,DEFAULT,DEFAULT,0
broadcast_perf,3,24,8388608,43.41,DEFAULT,DEFAULT,0
broadcast_perf,3,24,16777216,74.58,DEFAULT,DEFAULT,0
broadcast_perf,3,24,33554432,121.63,DEFAULT,DEFAULT,0
broadcast_perf,3,24,67108864,170.58,DEFAULT,DEFAULT,0
broadcast_perf,3,24,134217728,217.15,DEFAULT,DEFAULT,0
broadcast_perf,3,24,268435456,252.19,DEFAULT,DEFAULT,0
broadcast_perf,3,24,536870912,256.75,DEFAULT,DEFAULT,0
reduce_perf,2,16,4096,0.26,DEFAULT,DEFAULT,0
reduce_perf,2,16,8192,0.52,DEFAULT,DEFAULT,0
reduce_perf,2,16,16384,0.86,DEFAULT,DEFAULT,0
reduce_perf,2,16,32768,1.41,DEFAULT,DEFAULT,0
reduce_perf,2,16,65536,1.56,DEFAULT,DEFAULT,0
reduce_perf,2,16,131072,2.1,DEFAULT,DEFAULT,0
reduce_perf,2,16,262144,4.98,DEFAULT,DEFAULT,0
reduce_perf,2,16,524288,9.73,DEFAULT,DEFAULT,0
reduce_perf,2,16,1048576,16.85,DEFAULT,DEFAULT,0
reduce_perf,2,16,2097152,27.21,DEFAULT,DEFAULT,0
reduce_perf,2,16,4194304,43.34,DEFAULT,DEFAULT,0
reduce_perf,2,16,8388608,74.51,DEFAULT,DEFAULT,0
reduce_perf,2,16,16777216,114.32,DEFAULT,DEFAULT,0
reduce_perf,2,16,33554432,164.72,DEFAULT,DEFAULT,0
reduce_perf,2,16,67108864,209.84,DEFAULT,DEFAULT,0
reduce_perf,2,16,134217728,244.06,DEFAULT,DEFAULT,0
reduce_perf,2,16,268435456,266.65,DEFAULT,DEFAULT,0
reduce_perf,2,16,536870912,288.14,DEFAULT,DEFAULT,0
reduce_perf,3,24,4096,0.14,DEFAULT,DEFAULT,0
reduce_perf,3,24,8192,0.26,DEFAULT,DEFAULT,0
reduce_perf,3,24,16384,0.5,DEFAULT,DEFAULT,0
reduce_perf,3,24,32768,0.86,DEFAULT,DEFAULT,0
reduce_perf,3,24,65536,1.3,DEFAULT,DEFAULT,0
reduce_perf,3,24,131072,1.49,DEFAULT,DEFAULT,0
reduce_perf,3,24,262144,2.4,DEFAULT,DEFAULT,0
reduce_perf,3,24,524288,4.96,DEFAULT,DEFAULT,0
reduce_perf,3,24,1048576,9.03,DEFAULT,DEFAULT,0
reduce_perf,3,24,2097152,17.36,DEFAULT,DEFAULT,0
reduce_perf,3,24,4194304,26.99,DEFAULT,DEFAULT,0
reduce_perf,3,24,8388608,47.33,DEFAULT,DEFAULT,0
reduce_perf,3,24,16777216,79.41,DEFAULT,DEFAULT,0
reduce_perf,3,24,33554432,120.85,DEFAULT,DEFAULT,0
reduce_perf,3,24,67108864,167.5,DEFAULT,DEFAULT,0
reduce_perf,3,24,134217728,213.13,DEFAULT,DEFAULT,0
reduce_perf,3,24,268435456,242.93,DEFAULT,DEFAULT,0
reduce_perf,3,24,536870912,251.79,DEFAULT,DEFAULT,0
