collective,num_nodes,num_gpus,size_bytes,count,data_type,redop,time_oop_us,algbw_oop,busbw_oop,errors_oop,time_ip_us,algbw_ip,busbw_ip,errors_ip,algo,proto,nchannels,requested_algo,requested_proto,requested_nchannels,substituted,measured_algo_raw,nchannels_source
reduce_perf,1,8,4096,1024,float,sum,15.55,0.26,0.26,0,11.82,0.35,0.35,0,RING,LL,1,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,8192,2048,float,sum,13.79,0.59,0.59,0,11.96,0.68,0.68,0,RING,LL,1,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,16384,4096,float,sum,14.32,1.14,1.14,0,16.4,1.0,1.0,0,RING,LL,1,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,32768,8192,float,sum,16.06,2.04,2.04,0,13.84,2.37,2.37,0,RING,LL,2,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,65536,16384,float,sum,17.68,3.71,3.71,0,17.83,3.68,3.68,0,RING,LL,4,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,131072,32768,float,sum,23.96,5.47,5.47,0,22.8,5.75,5.75,0,RING,LL,8,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,262144,65536,float,sum,21.34,12.29,12.29,0,21.37,12.26,12.26,0,RING,LL,16,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,524288,131072,float,sum,52.93,9.91,9.91,0,53.8,9.74,9.74,0,RING,SIMPLE,16,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,1048576,262144,float,sum,55.76,18.8,18.8,0,54.92,19.09,19.09,0,RING,SIMPLE,32,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,2097152,524288,float,sum,57.53,36.46,36.46,0,60.08,34.9,34.9,0,RING,SIMPLE,64,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,4194304,1048576,float,sum,67.5,62.14,62.14,0,64.16,65.38,65.38,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,8388608,2097152,float,sum,82.93,101.15,101.15,0,77.46,108.3,108.3,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,16777216,4194304,float,sum,109.9,152.66,152.66,0,103.0,162.89,162.89,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,33554432,8388608,float,sum,171.36,195.81,195.81,0,158.91,211.15,211.15,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,67108864,16777216,float,sum,299.83,223.82,223.82,0,273.51,245.36,245.36,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,134217728,33554432,float,sum,515.48,260.38,260.38,0,473.51,283.45,283.45,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,268435456,67108864,float,sum,992.43,270.48,270.48,0,932.8,287.77,287.77,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
reduce_perf,1,8,536870912,134217728,float,sum,1840.96,291.63,291.63,0,1841.94,291.47,291.47,0,RING,SIMPLE,112,,,,0,RING,A_flag_ceiling
