collective,num_nodes,num_gpus,size_bytes,count,data_type,redop,time_oop_us,algbw_oop,busbw_oop,errors_oop,time_ip_us,algbw_ip,busbw_ip,errors_ip,algo,proto,nchannels,requested_algo,requested_proto,requested_nchannels,substituted,measured_algo_raw,nchannels_source
reduce_perf,1,8,4096,1024,float,sum,18.36,0.22,0.22,0,13.11,0.31,0.31,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,8192,2048,float,sum,15.19,0.54,0.54,0,15.18,0.54,0.54,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,16384,4096,float,sum,14.36,1.14,1.14,0,14.12,1.16,1.16,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,32768,8192,float,sum,15.32,2.14,2.14,0,17.2,1.91,1.91,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,65536,16384,float,sum,20.04,3.27,3.27,0,19.85,3.3,3.3,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,131072,32768,float,sum,32.28,4.06,4.06,0,31.71,4.13,4.13,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,262144,65536,float,sum,54.86,4.78,4.78,0,55.15,4.75,4.75,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,524288,131072,float,sum,92.89,5.64,5.64,0,92.74,5.65,5.65,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,1048576,262144,float,sum,178.89,5.86,5.86,0,177.56,5.91,5.91,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,2097152,524288,float,sum,332.23,6.31,6.31,0,328.63,6.38,6.38,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,4194304,1048576,float,sum,654.16,6.41,6.41,0,647.28,6.48,6.48,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,8388608,2097152,float,sum,1221.06,6.87,6.87,0,1209.7,6.93,6.93,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,16777216,4194304,float,sum,2335.85,7.18,7.18,0,2354.78,7.12,7.12,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,33554432,8388608,float,sum,4493.85,7.47,7.47,0,4443.95,7.55,7.55,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,67108864,16777216,float,sum,8949.61,7.5,7.5,0,8876.08,7.56,7.56,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,134217728,33554432,float,sum,17904.4,7.5,7.5,0,17772.9,7.55,7.55,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,268435456,67108864,float,sum,35819.6,7.49,7.49,0,37433.6,7.17,7.17,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,536870912,134217728,float,sum,71736.8,7.48,7.48,0,72222.5,7.43,7.43,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
reduce_perf,1,8,4096,1024,float,sum,15.47,0.26,0.26,0,13.55,0.3,0.3,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
reduce_perf,1,8,8192,2048,float,sum,14.43,0.57,0.57,0,11.95,0.69,0.69,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
reduce_perf,1,8,16384,4096,float,sum,17.59,0.93,0.93,0,14.13,1.16,1.16,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
